request_id,ttft_ms,ttlt_ms,output_tokens,baseline_service_ms,send_ttft_ms,send_ttlt_ms,dispatch_lag_ms,category,policy,profile,scheduled_at_unix_s,dispatched_at_unix_s,first_token_at_unix_s,completed_at_unix_s,error
bfcl:live_multiple_17-4-9:0000,1401.9312062300742,1995.463589206338,43,107.5,1399.8583648353815,1993.3907478116453,2.0728413946926594,ood:bfcl,ltr_aging,mixed,1784510225.442937,1784510225.4450107,1784510226.8448834,1784510227.4384155,
toolace-003460:0000,1489.1536328941584,4780.532638775185,193,482.5,1488.8246210757643,4780.203626956791,0.3290118183940649,id:toolace,ltr_aging,mixed,1784510225.4483154,1784510225.4486446,1784510226.9374735,1784510230.2288525,
toolace-000149:0001,969.6323424577713,3153.1294195447117,121,375.0,969.3546779453754,3152.851755032316,0.27766451239585876,id:toolace,ltr_aging,mixed,1784510227.6676629,1784510227.6679409,1784510228.637308,1784510230.8208046,
bfcl:live_simple_112-68-0:0000,1038.8521989807487,2924.743998097256,103,257.5,1038.4832799900323,2924.3750791065395,0.36891899071633816,ood:bfcl,ltr_aging,mixed,1784510230.9357123,1784510230.9360814,1784510231.9745746,1784510233.8604662,
toolace-003764:0000,1249.8464083764702,1814.2485555727035,41,102.5,1248.2348098419607,1812.636957038194,1.6115985345095396,id:toolace,ltr_aging,mixed,1784510231.5958602,1784510231.5974724,1784510232.845715,1784510233.4101174,
toolace-008645:0000,1317.702509695664,2008.8340425863862,54,135.0,1316.4894320070744,2007.6209648977965,1.2130776885896921,id:toolace,ltr_aging,mixed,1784510231.6598165,1784510231.661031,1784510232.9775352,1784510233.668667,
bfcl:multi_turn_miss_func_161:0000,1086.5194792859256,4212.294787401333,170,397.5,1085.444387048483,4211.219695163891,1.0750922374427319,ood:bfcl,ltr_aging,mixed,1784510234.0698135,1784510234.07089,1784510235.1563525,1784510238.282128,
bfcl:parallel_161:0000,559.4205702655017,13187.040901277214,668,1670.0,558.9796288404614,13186.599959852174,0.44094142504036427,ood:bfcl,ltr_aging,mixed,1784510234.1449845,1784510234.1454263,1784510234.7044144,1784510247.3320346,
toolace-001438:0000,752.5846702046692,1826.2516711838543,64,160.0,752.2700820118189,1825.937082991004,0.31458819285035133,id:toolace,ltr_aging,mixed,1784510240.3984613,1784510240.398776,1784510241.151052,1784510242.224719,
toolace-008412:0000,1105.7704540435225,1799.1780389565974,42,72.5,1105.566096957773,1798.973681870848,0.20435708574950695,id:toolace,ltr_aging,mixed,1784510241.0807452,1784510241.08095,1784510242.1865244,1784510242.879932,
toolace-007683:0000,1201.0457597207278,4332.263617776334,174,422.5,1200.5476239137352,4331.765481969342,0.49813580699265003,id:toolace,ltr_aging,mixed,1784510241.4714608,1784510241.4719594,1784510242.6725137,1784510245.8037314,
bfcl:live_irrelevance_647-205-1:0000,1248.502321075648,1829.7177138738334,43,107.5,1247.6815581321716,1828.896950930357,0.8207629434764385,ood:bfcl,ltr_aging,mixed,1784510244.1409085,1784510244.1417298,1784510245.389419,1784510245.9706345,
bfcl:multiple_171:0000,866.3148307241499,1647.8684747125953,56,140.0,860.720305936411,1642.2739499248564,5.594524787738919,ood:bfcl,ltr_aging,mixed,1784510251.8771436,1784510251.8827384,1784510252.743467,1784510253.5250204,
toolace-008773:0000,1196.878258837387,4198.896683985367,177,442.5,1194.0929398406297,4196.11136498861,2.785318996757269,id:toolace,ltr_aging,mixed,1784510254.2182114,1784510254.220997,1784510255.4150994,1784510258.4171176,
toolace-000038:0003,994.8043618351221,13037.006004946306,671,1532.5,993.9286238513887,13036.130266962573,0.8757379837334156,id:toolace,ltr_aging,mixed,1784510256.551283,1784510256.552159,1784510257.5460985,1784510269.5882993,
bfcl:simple_379:0000,569.0681743435562,1143.570989370346,40,100.0,568.5268461238593,1143.0296611506492,0.5413282196968794,ood:bfcl,ltr_aging,mixed,1784510262.0033517,1784510262.0038931,1784510262.5724285,1784510263.1469312,
toolace-006489:0000,1123.923622770235,3293.130648555234,130,325.0,1123.5034212004393,3292.7104469854385,0.4202015697956085,id:toolace,ltr_aging,mixed,1784510265.8904197,1784510265.89084,1784510267.014352,1784510269.1835594,
toolace-004698:0000,1158.68205181323,4350.726967677474,177,447.5,1158.1843809690326,4350.229296833277,0.49767084419727325,id:toolace,ltr_aging,mixed,1784510269.8683283,1784510269.8688262,1784510271.0270185,1784510274.219063,
bfcl:multi_turn_base_26:0000,1153.4618381410837,2267.219256144017,61,152.5,1152.266495861113,2266.0239138640463,1.195342279970646,ood:bfcl,ltr_aging,mixed,1784510271.9701548,1784510271.9713502,1784510273.123625,1784510274.2373827,
toolace-000051:0001,979.4912270735949,3639.6176361013204,150,375.0,977.0141979679465,3637.140606995672,2.4770291056483984,id:toolace,ltr_aging,mixed,1784510276.3853056,1784510276.3877838,1784510277.3648093,1784510280.024936,
toolace-001546:0000,828.1931788660586,3840.97685595043,184,460.0,827.5940017774701,3840.3776788618416,0.5991770885884762,id:toolace,ltr_aging,mixed,1784510278.9738123,1784510278.9744115,1784510279.8020108,1784510282.8147945,
toolace-001092:0000,964.7004746366292,1647.773484699428,40,100.0,963.2798940874636,1646.3529041502625,1.4205805491656065,id:toolace,ltr_aging,mixed,1784510283.7065532,1784510283.7079747,1784510284.6712644,1784510285.3543372,
bfcl:multi_turn_long_context_13:0000,1150.8093213196844,2425.7595273666084,69,172.5,1147.1305200830102,2422.080726129934,3.6788012366741896,ood:bfcl,ltr_aging,mixed,1784510288.6331658,1784510288.6368456,1784510289.7839878,1784510291.058938,
toolace-006436:0000,944.664696464315,2257.273447467014,75,117.5,943.5471559409052,2256.1559069436044,1.1175405234098434,id:toolace,ltr_aging,mixed,1784510289.7240458,1784510289.7251647,1784510290.6687243,1784510291.981333,
bfcl:live_multiple_724-165-11:0000,1162.9881814587861,2054.996540537104,64,160.0,1162.2310038655996,2054.2393629439175,0.7571775931864977,ood:bfcl,ltr_aging,mixed,1784510291.6391668,1784510291.6399245,1784510292.802165,1784510293.694173,
