request_id,ttft_ms,ttlt_ms,output_tokens,baseline_service_ms,send_ttft_ms,send_ttlt_ms,dispatch_lag_ms,category,policy,profile,scheduled_at_unix_s,dispatched_at_unix_s,first_token_at_unix_s,completed_at_unix_s,error
bfcl:live_multiple_17-4-9:0000,1176.0367075912654,1737.4455435201526,43,107.5,1173.4763740096241,1734.8852099385113,2.5603335816413164,ood:bfcl,prompt_sjf,mixed,1784509402.1089492,1784509402.1115096,1784509403.2849936,1784509403.8464024,
toolace-003460:0000,1209.8452833015472,4323.62915831618,193,482.5,1208.9260378852487,4322.709912899882,0.9192454162985086,id:toolace,prompt_sjf,mixed,1784509403.3242626,1784509403.325182,1784509404.5341177,1784509407.6479018,
toolace-000149:0001,930.2442905027419,3088.409047573805,121,375.0,928.8894149940461,3087.054172065109,1.3548755086958408,id:toolace,prompt_sjf,mixed,1784509407.9590304,1784509407.9603853,1784509408.8892832,1784509411.0474472,
bfcl:live_simple_112-68-0:0000,1069.7478472720832,2733.1933982204646,103,257.5,1068.7365580815822,2732.1821090299636,1.0112891905009747,ood:bfcl,prompt_sjf,mixed,1784509409.7735872,1784509409.7745986,1784509410.843344,1784509412.5067892,
toolace-003764:0000,1126.3810088858008,1651.1798189021647,41,102.5,1123.7073128577322,1648.506122874096,2.6736960280686617,id:toolace,prompt_sjf,mixed,1784509414.770652,1784509414.7733269,1784509415.8970442,1784509416.421843,
toolace-008645:0000,1223.3680267818272,1869.64441370219,54,135.0,1222.2432249691337,1868.5196118894964,1.1248018126934767,id:toolace,prompt_sjf,mixed,1784509415.7501082,1784509415.751233,1784509416.9734848,1784509417.6197608,
bfcl:multi_turn_miss_func_161:0000,1107.3741058353335,3846.565956948325,157,397.5,1106.4432698767632,3845.635120989755,0.9308359585702419,ood:bfcl,prompt_sjf,mixed,1784509419.6122863,1784509419.613218,1784509420.7196734,1784509423.4588652,
bfcl:parallel_161:0000,556.1517793685198,12403.006243519485,662,1670.0,554.2176750022918,12401.072139153257,1.9341043662279844,ood:bfcl,prompt_sjf,mixed,1784509424.315113,1784509424.3170483,1784509424.8712783,1784509436.7181327,
toolace-001438:0000,712.5458179507405,1710.1989651564509,64,160.0,712.3550439719111,1710.0081911776215,0.19077397882938385,id:toolace,prompt_sjf,mixed,1784509425.3400605,1784509425.3402514,1784509426.0526166,1784509427.0502698,
toolace-008412:0000,1130.918496986851,1723.4891781117767,42,72.5,1130.4126139730215,1722.9832950979471,0.5058830138295889,id:toolace,prompt_sjf,mixed,1784509429.703074,1784509429.70358,1784509430.8340013,1784509431.426572,
toolace-007683:0000,1198.6070037819445,4027.4938496295363,174,422.5,1198.1964770238847,4027.0833228714764,0.4105267580598593,id:toolace,prompt_sjf,mixed,1784509434.9447334,1784509434.9451442,1784509436.1433487,1784509438.9722357,
bfcl:live_irrelevance_647-205-1:0000,1237.6431440934539,1782.1770161390305,43,107.5,1231.4615200739354,1775.995392119512,6.181624019518495,ood:bfcl,prompt_sjf,mixed,1784509443.1934927,1784509443.1996753,1784509444.4311485,1784509444.9756823,
bfcl:multiple_171:0000,841.9798740651459,1623.664200073108,56,140.0,839.4758270587772,1621.1601530667394,2.504047006368637,ood:bfcl,prompt_sjf,mixed,1784509446.6221426,1784509446.6246476,1784509447.4641354,1784509448.2458193,
toolace-008773:0000,1221.1049508769065,4207.072364864871,177,442.5,1217.3514869064093,4203.318900894374,3.7534639704972506,id:toolace,prompt_sjf,mixed,1784509451.2884474,1784509451.292202,1784509452.5095668,1784509455.495534,
toolace-000038:0003,1007.1663756389171,14054.753310745582,709,1532.5,1006.7078659776598,14054.294801084325,0.458509661257267,id:toolace,prompt_sjf,mixed,1784509453.9148917,1784509453.9153512,1784509454.922068,1784509467.969655,
bfcl:simple_379:0000,545.0467467308044,1120.1938877347857,40,100.0,544.4332051556557,1119.580346159637,0.6135415751487017,ood:bfcl,prompt_sjf,mixed,1784509464.399349,1784509464.3999627,1784509464.9444044,1784509465.5195515,
toolace-006489:0000,1252.1124803461134,3720.2252203132957,130,325.0,1251.2147850356996,3719.327525002882,0.8976953104138374,id:toolace,prompt_sjf,mixed,1784509464.7772086,1784509464.7781065,1784509466.0293293,1784509468.497442,
