request_id,ttft_ms,ttlt_ms,output_tokens,baseline_service_ms,send_ttft_ms,send_ttlt_ms,dispatch_lag_ms,category,policy,profile,scheduled_at_unix_s,dispatched_at_unix_s,first_token_at_unix_s,completed_at_unix_s,error
bfcl:live_multiple_17-4-9:0000,1170.7123056985438,1732.629760634154,43,107.5,1168.0602291598916,1729.977684095502,2.6520765386521816,ood:bfcl,pure_ltr,mixed,1784505798.9987292,1784505799.0013812,1784505800.1694498,1784505800.731367,
toolace-003460:0000,1216.69113333337,4330.721906386316,193,482.5,1216.0951769910753,4330.125950044021,0.5959563422948122,id:toolace,pure_ltr,mixed,1784505800.2140427,1784505800.2146387,1784505801.430743,1784505804.5447736,
toolace-000149:0001,985.3894414845854,3144.1358735319227,121,375.0,984.8495121113956,3143.595944158733,0.5399293731898069,id:toolace,pure_ltr,mixed,1784505804.8488104,1784505804.8493502,1784505805.8342078,1784505807.9929538,
bfcl:live_simple_112-68-0:0000,1107.6791724190116,2770.930252270773,103,257.5,1107.4229881633073,2770.6740680150688,0.2561842557042837,ood:bfcl,pure_ltr,mixed,1784505806.6633673,1784505806.6636233,1784505807.7710543,1784505809.4343054,
toolace-003764:0000,1150.4175099544227,1675.5776240024716,41,102.5,1148.005326045677,1673.165440093726,2.4121839087456465,id:toolace,pure_ltr,mixed,1784505811.660432,1784505811.6628447,1784505812.8108628,1784505813.3360233,
toolace-008645:0000,1235.4279174469411,1881.753840483725,54,135.0,1235.2838579099625,1881.6097809467465,0.1440595369786024,id:toolace,pure_ltr,mixed,1784505812.6398883,1784505812.640032,1784505813.8753223,1784505814.5216484,
bfcl:multi_turn_miss_func_161:0000,1125.5568349733949,3864.091793773696,157,397.5,1122.813451103866,3861.348409904167,2.7433838695287704,ood:bfcl,pure_ltr,mixed,1784505816.5020664,1784505816.5048106,1784505817.627635,1784505820.3661697,
bfcl:parallel_161:0000,556.5768082160503,12410.755492281169,662,1670.0,555.1918130367994,12409.370497101918,1.3849951792508364,ood:bfcl,pure_ltr,mixed,1784505821.204893,1784505821.2062778,1784505821.7614772,1784505833.6156557,
toolace-001438:0000,765.867330133915,1763.8612310402095,64,160.0,764.9279010947794,1762.921802001074,0.9394290391355753,id:toolace,pure_ltr,mixed,1784505822.2298405,1784505822.2307796,1784505822.995715,1784505823.9937086,
toolace-008412:0000,1186.182232806459,1778.2950960099697,42,72.5,1185.232973890379,1777.3458370938897,0.949258916079998,id:toolace,pure_ltr,mixed,1784505826.592854,1784505826.593803,1784505827.7790449,1784505828.3711572,
toolace-007683:0000,1206.3197498209774,4035.390774719417,174,422.5,1205.8813911862671,4034.952416084707,0.4383586347103119,id:toolace,pure_ltr,mixed,1784505831.8345134,1784505831.8349535,1784505833.0408535,1784505835.8699243,
bfcl:live_irrelevance_647-205-1:0000,1281.6000150050968,1826.2325378600508,43,107.5,1275.4169250838459,1820.0494479387999,6.183089921250939,ood:bfcl,pure_ltr,mixed,1784505840.0832727,1784505840.0894568,1784505841.364886,1784505841.9095182,
bfcl:multiple_171:0000,858.8706851005554,1640.6645739916712,56,140.0,856.4949871506542,1638.28887604177,2.375697949901223,ood:bfcl,pure_ltr,mixed,1784505843.5119226,1784505843.5142982,1784505844.3708024,1784505845.1525962,
toolace-008773:0000,1233.8588340207934,4220.661264844239,177,442.5,1231.1022840440273,4217.904714867473,2.7565499767661095,id:toolace,pure_ltr,mixed,1784505848.1782274,1784505848.1809838,1784505849.4120944,1784505852.398897,
toolace-000038:0003,1020.081688882783,14068.968183826655,709,1532.5,1018.839294090867,14067.72578903474,1.2423947919160128,id:toolace,pure_ltr,mixed,1784505850.8046718,1784505850.805914,1784505851.8247619,1784505864.8736484,
bfcl:simple_379:0000,558.9061942882836,1134.3573553021997,40,100.0,558.414920931682,1133.8660819455981,0.4912733566015959,ood:bfcl,pure_ltr,mixed,1784505861.289129,1784505861.2896197,1784505861.8480399,1784505862.4234915,
toolace-006489:0000,1266.204884275794,3734.840778168291,130,325.0,1265.425099991262,3734.060993883759,0.7797842845320702,id:toolace,pure_ltr,mixed,1784505861.6669886,1784505861.6677678,1784505862.9332,1784505865.4018354,
toolace-004698:0000,1219.8596554808319,4525.8281314745545,177,447.5,1219.6481560822576,4525.61663207598,0.21149939857423306,id:toolace,pure_ltr,mixed,1784505861.8265572,1784505861.8267684,1784505863.0464199,1784505866.3523884,
bfcl:multi_turn_base_26:0000,1225.7397600915283,2351.5247751493007,61,152.5,1224.111852934584,2349.8968679923564,1.627907156944275,ood:bfcl,pure_ltr,mixed,1784505863.4400597,1784505863.4416878,1784505864.6658082,1784505865.791593,
toolace-000051:0001,971.406726166606,3844.621767057106,150,375.0,970.1273660175502,3843.34240690805,1.2793601490557194,id:toolace,pure_ltr,mixed,1784505866.995988,1784505866.997267,1784505867.9674013,1784505870.8406162,
toolace-001546:0000,836.9848227594048,4424.914508825168,184,460.0,836.0170149244368,4423.9467009902,0.9678078349679708,id:toolace,pure_ltr,mixed,1784505867.8320491,1784505867.833017,1784505868.6690392,1784505872.256969,
toolace-001092:0000,987.5734439119697,1976.1835248209536,40,100.0,987.2282459400594,1975.8383268490434,0.34519797191023827,id:toolace,pure_ltr,mixed,1784505869.817671,1784505869.818016,1784505870.805266,1784505871.793876,
bfcl:multi_turn_long_context_13:0000,1220.8380196243525,2463.652634760365,69,172.5,1219.9035240337253,2462.7181391697377,0.9344955906271935,ood:bfcl,pure_ltr,mixed,1784505870.1988015,1784505870.1997356,1784505871.4196465,1784505872.6624613,
toolace-006436:0000,935.003267833963,2222.8048499673605,75,117.5,934.0349128469825,2221.83649498038,0.9683549869805574,id:toolace,pure_ltr,mixed,1784505872.1339047,1784505872.134873,1784505873.068915,1784505874.3567169,
bfcl:live_multiple_724-165-11:0000,1200.7918246090412,2170.7610706798732,64,160.0,1198.997006053105,2168.966252123937,1.7948185559362173,ood:bfcl,pure_ltr,mixed,1784505875.7124994,1784505875.7142947,1784505876.9133036,1784505877.883273,
bfcl:live_irrelevance_593-188-0:0000,982.6817931607366,1406.9955821614712,24,60.0,980.8300938457251,1405.1438828464597,1.8516993150115013,ood:bfcl,pure_ltr,mixed,1784505876.002611,1784505876.004463,1784505876.985301,1784505877.4096146,
toolace-000399:0002,1063.0504419095814,2345.209838822484,62,107.5,1059.9304179195315,2342.089814832434,3.1200239900499582,id:toolace,pure_ltr,mixed,1784505883.5401213,1784505883.543242,1784505884.6031835,1784505885.8853428,
toolace-007141:0000,1183.278729673475,3904.080796521157,153,382.5,1182.340714149177,3903.142780996859,0.9380155242979527,id:toolace,pure_ltr,mixed,1784505884.1996882,1784505884.2006269,1784505885.3829787,1784505888.1037803,
bfcl:exec_parallel_1:0000,868.1644382886589,5779.044860275462,273,682.5,867.1368609648198,5778.017282951623,1.0275773238390684,ood:bfcl,pure_ltr,mixed,1784505884.225803,1784505884.2268302,1784505885.0939755,1784505890.0048554,
toolace-008090:0000,1163.1859696935862,2346.728788688779,78,195.0,1163.0015110131353,2346.544330008328,0.1844586804509163,id:toolace,pure_ltr,mixed,1784505884.8724806,1784505884.872666,1784505886.035678,1784505887.2192202,
toolace-003354:0000,720.3753853682429,1479.7657374292612,40,92.5,718.608072027564,1477.9984240885824,1.767313340678811,id:toolace,pure_ltr,mixed,1784505886.735121,1784505886.7368886,1784505887.455506,1784505888.2148962,
bfcl:live_simple_242-126-0:0000,490.97934900783,850.3695100080222,27,67.5,489.87285303883255,849.2630140390247,1.1064959689974785,ood:bfcl,pure_ltr,mixed,1784505887.2344375,1784505887.2355437,1784505887.7254243,1784505888.0848148,
bfcl:parallel_multiple_45:0000,788.4717436973006,2037.886496866122,84,210.0,786.1364909913391,2035.5512441601604,2.335252705961466,ood:bfcl,pure_ltr,mixed,1784505890.83157,1784505890.833906,1784505891.6200535,1784505892.8694685,
toolace-005932:0000,1315.621332032606,2357.7569511253387,74,185.0,1312.0554469060153,2354.191065998748,3.5658851265907288,id:toolace,pure_ltr,mixed,1784505894.5148206,1784505894.5183864,1784505895.8304496,1784505896.8725853,
toolace-005389:0000,1225.4567760974169,2113.475692924112,60,150.0,1224.670846015215,2112.68976284191,0.7859300822019577,id:toolace,pure_ltr,mixed,1784505894.5494473,1784505894.5502331,1784505895.7749112,1784505896.6629303,
bfcl:live_simple_14-3-10:0000,650.0788135454059,1240.7288155518472,43,107.5,648.649439914152,1239.2994419205934,1.4293736312538385,ood:bfcl,pure_ltr,mixed,1784505897.6662357,1784505897.6676657,1784505898.3163242,1784505898.9069743,
bfcl:live_multiple_259-123-0:0000,1234.2685472685844,1880.7663042098284,52,130.0,1233.1835799850523,1879.6813369262964,1.0849672835320234,ood:bfcl,pure_ltr,mixed,1784505899.3735263,1784505899.3746111,1784505900.607803,1784505901.2543004,
bfcl:live_simple_211-117-3:0000,887.8935510292649,1498.2632549945265,45,112.5,887.230398831889,1497.6001027971506,0.6631521973758936,ood:bfcl,pure_ltr,mixed,1784505899.737989,1784505899.738652,1784505900.625889,1784505901.2362597,
bfcl:simple_252:0000,700.38509555161,1896.519744535908,70,175.0,695.4032198991627,1891.5378688834608,4.981875652447343,ood:bfcl,pure_ltr,mixed,1784505904.1784194,1784505904.183402,1784505904.8788157,1784505906.074951,
toolace-004368:0000,1141.869061626494,1494.171773782,27,67.5,1140.0669058784842,1492.3696180339903,1.8021557480096817,id:toolace,pure_ltr,mixed,1784505904.5997415,1784505904.6015444,1784505905.7416213,1784505906.0939236,
toolace-009879:0000,1102.0121024921536,4345.139886485413,192,480.0,1098.5342198982835,4341.662003891543,3.477882593870163,id:toolace,pure_ltr,mixed,1784505909.3259015,1784505909.32938,1784505910.4279265,1784505913.6710541,
bfcl:multi_turn_composite_195:0000,1204.206659225747,1556.3422602135688,32,80.0,1202.1293910220265,1554.2649920098484,2.0772682037204504,ood:bfcl,pure_ltr,mixed,1784505910.9857001,1784505910.9877772,1784505912.1899178,1784505912.5420535,
toolace-000233:0001,925.9807993657887,2388.867503264919,85,212.5,922.6921920198947,2385.578895919025,3.288607345893979,id:toolace,pure_ltr,mixed,1784505915.9913085,1784505915.994598,1784505916.9173028,1784505918.3801892,
toolace-000112:0003,998.8165199756622,3678.2197889406234,143,350.0,996.5181408915669,3675.921409856528,2.298379084095359,id:toolace,pure_ltr,mixed,1784505920.2830126,1784505920.2853117,1784505921.2818422,1784505923.9612455,
toolace-004016:0000,1255.1570658106357,3181.5188177861273,120,297.5,1254.555132938549,3180.9168849140406,0.6019328720867634,id:toolace,pure_ltr,mixed,1784505920.4989228,1784505920.4995255,1784505921.7540944,1784505923.6804562,
bfcl:live_multiple_198-90-0:0000,1149.648444261402,1255.203370237723,16,40.0,1145.062847994268,1250.617773970589,4.585596267133951,ood:bfcl,pure_ltr,mixed,1784505927.8999305,1784505927.9045172,1784505929.0495923,1784505929.1551468,
toolace-006395:0000,1019.0680988598615,4780.635638860986,222,555.0,1016.2112419493496,4777.778781950474,2.8568569105118513,id:toolace,pure_ltr,mixed,1784505931.6210868,1784505931.6239448,1784505932.64017,1784505936.4017375,
toolace-010479:0000,1101.239797193557,1555.1940852310508,33,82.5,1100.5858399439603,1554.5401279814541,0.653957249596715,id:toolace,pure_ltr,mixed,1784505932.81322,1784505932.8138738,1784505933.9144678,1784505934.3684218,
bfcl:simple_246:0000,624.3795421905816,974.5760192163289,32,80.0,623.7905011512339,973.9869781769812,0.5890410393476486,ood:bfcl,pure_ltr,mixed,1784505933.7442782,1784505933.7448673,1784505934.3686666,1784505934.7188628,
toolace-005737:0000,1079.3281896039844,3308.883864665404,135,295.0,1078.7906949408352,3308.346370002255,0.5374946631491184,id:toolace,pure_ltr,mixed,1784505935.5467854,1784505935.547323,1784505936.6261237,1784505938.8556795,
toolace-010154:0000,1028.3344795461744,1860.2368605788797,57,142.5,1027.7610768098384,1859.6634578425437,0.5734027363359928,id:toolace,pure_ltr,mixed,1784505937.8970094,1784505937.8975828,1784505938.9253519,1784505939.7572546,
toolace-007906:0000,1103.6768925841898,1506.018583662808,33,82.5,1102.4384540505707,1504.780145129189,1.2384385336190462,id:toolace,pure_ltr,mixed,1784505940.055481,1784505940.056719,1784505941.1591654,1784505941.5615067,
toolace-008651:0000,1255.260915728286,2716.280069667846,99,322.5,1252.7490050997585,2713.7681590393186,2.511910628527403,id:toolace,pure_ltr,mixed,1784505943.9476192,1784505943.9501314,1784505945.2028913,1784505946.6639102,
bfcl:live_simple_246-128-0:0000,635.9914743807167,1424.7425333596766,53,132.5,634.702957002446,1423.454015981406,1.288517378270626,ood:bfcl,pure_ltr,mixed,1784505945.6207476,1784505945.6220357,1784505946.2567441,1784505947.0454948,
bfcl:live_irrelevance_367-81-28:0000,976.7189628910273,9969.215967692435,476,1230.0,976.4033781830221,9968.90038298443,0.3155847080051899,ood:bfcl,pure_ltr,mixed,1784505947.1535137,1784505947.1538289,1784505948.1302395,1784505957.1227365,
bfcl:live_multiple_487-147-2:0000,1361.7048314772546,3764.215327333659,134,335.0,1360.609273193404,3763.1197690498084,1.0955582838505507,ood:bfcl,pure_ltr,mixed,1784505950.274981,1784505950.2760768,1784505951.6366944,1784505954.039205,
bfcl:live_multiple_930-191-18:0000,1184.66527457349,1615.677859634161,30,75.0,1184.219999006018,1615.232584066689,0.44527556747198105,ood:bfcl,pure_ltr,mixed,1784505952.1973076,1784505952.1977532,1784505953.3819828,1784505953.812995,
bfcl:live_irrelevance_228-35-3:0000,932.7968985307962,1683.8943485636264,41,102.5,932.2038209065795,1683.3012709394097,0.5930776242166758,ood:bfcl,pure_ltr,mixed,1784505952.5954814,1784505952.5960743,1784505953.5282867,1784505954.2793841,
bfcl:live_irrelevance_653-206-2:0000,1033.1373943481594,1681.1806713230908,36,90.0,1032.1194420102984,1680.1627189852297,1.017952337861061,ood:bfcl,pure_ltr,mixed,1784505955.4231434,1784505955.4241612,1784505956.4562898,1784505957.1043332,
toolace-000143:0002,943.032298469916,6940.25928969495,328,835.0,942.8186379373074,6940.045629162341,0.21366053260862827,id:toolace,pure_ltr,mixed,1784505957.024977,1784505957.0251908,1784505957.9680195,1784505963.9652464,
bfcl:multi_turn_miss_func_197:0000,1028.13491364941,3452.451141551137,130,550.0,1026.7076280433685,3451.0238559450954,1.4272856060415506,ood:bfcl,pure_ltr,mixed,1784505958.377918,1784505958.3793452,1784505959.4060607,1784505961.8303769,
