request_id,ttft_ms,ttlt_ms,output_tokens,baseline_service_ms,send_ttft_ms,send_ttlt_ms,dispatch_lag_ms,category,policy,profile,scheduled_at_unix_s,dispatched_at_unix_s,first_token_at_unix_s,completed_at_unix_s,error
bfcl:live_multiple_17-4-9:0000,1332.5314363464713,2007.8777782619,43,107.5,1331.513644894585,2006.8599868100137,1.0177914518862963,ood:bfcl,fcfs,mixed,1784504956.461137,1784504956.462157,1784504957.7936845,1784504958.4690309,
toolace-003460:0000,1243.0242681875825,5099.178662290797,193,482.5,1241.9270719401538,5098.081466043368,1.0971962474286556,id:toolace,fcfs,mixed,1784504956.656304,1784504956.6574013,1784504957.8993359,1784504961.7554903,
toolace-000149:0001,914.1014933120459,3515.9638384357095,121,375.0,913.3353410288692,3515.1976861525327,0.7661522831767797,id:toolace,fcfs,mixed,1784504958.1766605,1784504958.177427,1784504959.0907712,1784504961.6926336,
bfcl:live_simple_112-68-0:0000,1060.8464654069394,3034.9060625303537,103,257.5,1059.9502420518547,3034.009839175269,0.8962233550846577,ood:bfcl,fcfs,mixed,1784504959.4736207,1784504959.4745173,1784504960.5344768,1784504962.5085363,
toolace-003764:0000,1169.695216231048,1768.0209293030202,41,102.5,1169.3572290241718,1767.682942096144,0.3379872068762779,id:toolace,fcfs,mixed,1784504962.1036751,1784504962.1040132,1784504963.2733793,1784504963.8717046,
toolace-008645:0000,1254.1506390552968,2595.485153142363,54,135.0,1251.1591548100114,2592.4936688970774,2.991484245285392,id:toolace,fcfs,mixed,1784504969.673871,1784504969.6768649,1784504970.9280388,1784504972.2693732,
bfcl:multi_turn_miss_func_161:0000,1101.4448134228587,4478.751112474129,149,397.5,1100.1791059970856,4477.4854050483555,1.2657074257731438,ood:bfcl,fcfs,mixed,1784504970.2399318,1784504970.2411997,1784504971.3413928,1784504974.7186987,
bfcl:parallel_161:0000,556.7019465379417,14939.724094467238,662,1670.0,552.5934679899365,14935.615615919232,4.108478548005223,ood:bfcl,fcfs,mixed,1784504978.032061,1784504978.03617,1784504978.5887702,1784504992.9717925,
toolace-001438:0000,746.7884407378733,1882.7852818649262,64,160.0,745.7858228590339,1881.7826639860868,1.0026178788393736,id:toolace,fcfs,mixed,1784504980.529328,1784504980.5303311,1784504981.276125,1784504982.4121218,
toolace-008412:0000,1171.6968836262822,2123.610023409128,42,72.5,1171.0889760870486,2123.0021158698946,0.6079075392335653,id:toolace,fcfs,mixed,1784504983.81301,1784504983.813618,1784504984.9847152,1784504985.9366279,
toolace-007683:0000,1382.8855860047042,4978.819555137306,174,422.5,1382.3913419619203,4978.3253110945225,0.4942440427839756,id:toolace,fcfs,mixed,1784504984.1626468,1784504984.1631415,1784504985.5455403,1784504989.1414745,
bfcl:live_irrelevance_647-205-1:0000,1242.5642886664718,1954.1100997012109,43,107.5,1240.759989945218,1952.305800979957,1.804298721253872,ood:bfcl,fcfs,mixed,1784504984.3470123,1784504984.3488169,1784504985.589584,1784504986.30113,
bfcl:multiple_171:0000,902.237931964919,1973.714591935277,56,140.0,901.8965628929436,1973.3732228633016,0.3413690719753504,ood:bfcl,fcfs,mixed,1784504985.4409232,1784504985.4412649,1784504986.3431704,1784504987.4146469,
toolace-008773:0000,1255.7806121185422,4715.419572079554,177,442.5,1255.5795079097152,4715.218467870727,0.20110420882701874,id:toolace,fcfs,mixed,1784504986.006959,1784504986.0071604,1784504987.2627485,1784504990.7223873,
toolace-000038:0003,982.6342985033989,18931.860745418817,677,1532.5,982.1902350522578,18931.416681967676,0.444063451141119,id:toolace,fcfs,mixed,1784504990.2660844,1784504990.2665288,1784504991.248727,1784505009.197953,
bfcl:simple_379:0000,554.4702098704875,1266.0117170307785,40,100.0,554.0317189879715,1265.5732261482626,0.4384908825159073,ood:bfcl,fcfs,mixed,1784504992.2237673,1784504992.224206,1784504992.778246,1784504993.489787,
toolace-006489:0000,1161.9036737829447,3630.6086897384375,130,325.0,1161.5189749281853,3630.223990883678,0.3846988547593355,id:toolace,fcfs,mixed,1784504992.3060951,1784504992.30648,1784504993.468005,1784504995.93671,
