request_id,ttft_ms,ttlt_ms,output_tokens,baseline_service_ms,send_ttft_ms,send_ttlt_ms,dispatch_lag_ms,category,policy,profile,scheduled_at_unix_s,dispatched_at_unix_s,first_token_at_unix_s,completed_at_unix_s,error
bfcl:live_multiple_17-4-9:0000,1588.210431393236,2708.778460510075,43,107.5,1586.1227239947766,2706.690753111616,2.0877073984593153,ood:bfcl,fcfs,mixed,1784504222.0298877,1784504222.031977,1784504223.6181195,1784504224.7386873,
toolace-003460:0000,1740.6797169242054,5935.682444134727,193,482.5,1739.5566289778799,5934.559356188402,1.1230879463255405,id:toolace,fcfs,mixed,1784504222.0352662,1784504222.0363898,1784504223.7759552,1784504227.9709575,
toolace-000149:0001,952.2588644176722,3495.792340254411,121,375.0,952.0792940165848,3495.6127698533237,0.1795704010874033,id:toolace,fcfs,mixed,1784504224.2546136,1784504224.2547944,1784504225.2068913,1784504227.7504241,
bfcl:live_simple_112-68-0:0000,1072.0680360682309,4262.395763071254,103,257.5,1071.6573749668896,4261.985101969913,0.41066110134124756,ood:bfcl,fcfs,mixed,1784504227.522663,1784504227.5230746,1784504228.5947428,1784504231.7850702,
toolace-003764:0000,1386.5292756818235,2462.8921665716916,41,102.5,1385.8354960102588,2462.198386900127,0.6937796715646982,id:toolace,fcfs,mixed,1784504228.182811,1784504228.1835065,1784504229.5693555,1784504230.6457186,
toolace-008645:0000,1554.423009743914,2869.1718708723783,54,135.0,1553.9965478237718,2868.745408952236,0.42646192014217377,id:toolace,fcfs,mixed,1784504228.2467673,1784504228.2471943,1784504229.801199,1784504231.1159482,
bfcl:multi_turn_miss_func_161:0000,1074.7194085270166,4503.001612378284,99,397.5,1074.4317302014679,4502.713934052736,0.28767832554876804,ood:bfcl,fcfs,mixed,1784504230.6567643,1784504230.6570525,1784504231.7314932,1784504235.1597755,
bfcl:parallel_161:0000,580.147449625656,16235.173369525,668,1670.0,579.2230351362377,16234.248955035582,0.9244144894182682,ood:bfcl,fcfs,mixed,1784504230.7319353,1784504230.73286,1784504231.3120906,1784504246.9671168,
toolace-001438:0000,751.022145152092,1971.6459512710571,64,160.0,750.0510870013386,1970.6748931203038,0.9710581507533789,id:toolace,fcfs,mixed,1784504236.9854121,1784504236.9863837,1784504237.7364433,1784504238.9570673,
toolace-008412:0000,1160.261457087472,1944.8021301068366,42,72.5,1159.6517330035567,1944.1924060229212,0.6097240839153528,id:toolace,fcfs,mixed,1784504237.667696,1784504237.6683064,1784504238.8279665,1784504239.612507,
toolace-007683:0000,1295.418283669278,4853.397266706452,174,422.5,1294.5228558965027,4852.5018389336765,0.8954277727752924,id:toolace,fcfs,mixed,1784504238.0584116,1784504238.0593076,1784504239.353837,1784504242.9118161,
bfcl:live_irrelevance_647-205-1:0000,1283.635200932622,1952.6760349981487,43,107.5,1283.3602509927005,1952.4010850582272,0.2749499399214983,ood:bfcl,fcfs,mixed,1784504240.7278593,1784504240.7281349,1784504242.0115023,1784504242.6805432,
bfcl:multiple_171:0000,884.8387680482119,1777.6435648556799,56,140.0,882.9976541455835,1775.8024509530514,1.8411139026284218,ood:bfcl,fcfs,mixed,1784504248.4640944,1784504248.4659367,1784504249.3489454,1784504250.2417505,
toolace-008773:0000,1292.1947608701885,4741.456528892741,177,442.5,1290.6735909637064,4739.9353589862585,1.5211699064821005,id:toolace,fcfs,mixed,1784504250.8051622,1784504250.8066847,1784504252.0973697,1784504255.5466309,
toolace-000038:0003,1013.8532870914787,17552.730448078364,736,1532.5,1012.6772890798748,17551.55445006676,1.1759980116039515,id:toolace,fcfs,mixed,1784504253.1382337,1784504253.1394105,1784504254.152099,1784504270.6909757,
bfcl:simple_379:0000,686.9275115896016,1768.237297423184,40,100.0,684.8736961837858,1766.183482017368,2.0538154058158398,ood:bfcl,fcfs,mixed,1784504258.5903025,1784504258.592357,1784504259.2772408,1784504260.3585498,
toolace-006489:0000,1186.5440495312214,3659.079895587638,130,325.0,1186.3964148797095,3658.932260936126,0.14763465151190758,id:toolace,fcfs,mixed,1784504262.4773705,1784504262.4775186,1784504263.6639235,1784504266.1364594,
toolace-004698:0000,1220.2456947416067,5811.6797166876495,177,447.5,1220.0551889836788,5811.489210929722,0.1905057579278946,id:toolace,fcfs,mixed,1784504266.455279,1784504266.45547,1784504267.6755338,1784504272.266968,
