request_id,ttft_ms,ttlt_ms,output_tokens,baseline_service_ms,send_ttft_ms,send_ttlt_ms,dispatch_lag_ms,category,policy,profile,scheduled_at_unix_s,dispatched_at_unix_s,first_token_at_unix_s,completed_at_unix_s,error
bfcl:live_multiple_17-4-9:0000,1207.1619434282184,1849.5534064713866,43,107.5,1204.6817778609693,1847.0732409041375,2.4801655672490597,ood:bfcl,fcfs,mixed,1784504598.5714772,1784504598.5739577,1784504599.7786484,1784504600.4210396,
toolace-003460:0000,1291.9022582937032,4853.097499348223,193,482.5,1289.8857328109443,4851.080973865464,2.0165254827588797,id:toolace,fcfs,mixed,1784504599.7867906,1784504599.7888072,1784504601.0787,1784504604.6398952,
toolace-000149:0001,953.2214545179158,3437.358142575249,121,375.0,952.5189169216901,3436.6556049790233,0.7025375962257385,id:toolace,fcfs,mixed,1784504604.4215584,1784504604.422261,1784504605.3747895,1784504607.858926,
bfcl:live_simple_112-68-0:0000,1113.0788072478026,3033.241977216676,103,257.5,1112.890741089359,3033.053911058232,0.18806615844368935,ood:bfcl,fcfs,mixed,1784504606.2361152,1784504606.2363033,1784504607.3492022,1784504609.269365,
toolace-003764:0000,1197.0515111461282,1798.5776939895004,41,102.5,1196.0839540697634,1797.6101369131356,0.9675570763647556,id:toolace,fcfs,mixed,1784504611.23318,1784504611.234149,1784504612.4302452,1784504613.0317714,
toolace-008645:0000,1296.6560607310385,2037.1548966504633,54,135.0,1296.2890740018338,2036.7879099212587,0.3669867292046547,id:toolace,fcfs,mixed,1784504612.2126362,1784504612.2130039,1784504613.5093029,1784504614.2498014,
bfcl:multi_turn_miss_func_161:0000,1113.7315479572862,4254.494793945923,157,397.5,1111.7206669878215,4252.483912976459,2.010880969464779,ood:bfcl,fcfs,mixed,1784504616.0748143,1784504616.0768251,1784504617.188555,1784504620.3293188,
bfcl:parallel_161:0000,552.6358191855252,14297.299604164436,668,1670.0,551.2867700308561,14295.950555009767,1.3490491546690464,ood:bfcl,fcfs,mixed,1784504620.777641,1784504620.77899,1784504621.3302827,1784504635.0749464,
toolace-001438:0000,742.0034860260785,1878.1722870189697,64,160.0,741.2820849567652,1877.4508859496564,0.7214010693132877,id:toolace,fcfs,mixed,1784504621.8025885,1784504621.80331,1784504622.5446005,1784504623.6807694,
toolace-008412:0000,1179.9988611601293,1854.7395241912454,42,72.5,1179.5867150649428,1854.327378096059,0.41214609518647194,id:toolace,fcfs,mixed,1784504626.165602,1784504626.1660142,1784504627.3456283,1784504628.0203688,
toolace-007683:0000,1302.3925649467856,4625.247328775004,174,422.5,1301.0553470812738,4623.910110909492,1.337217865511775,id:toolace,fcfs,mixed,1784504631.4072614,1784504631.4085991,1784504632.709665,1784504636.0325196,
bfcl:live_irrelevance_647-205-1:0000,1322.1496441401541,1943.2972171343863,43,107.5,1317.7789321634918,1938.926505157724,4.370711976662278,ood:bfcl,fcfs,mixed,1784504639.6560206,1784504639.6603928,1784504640.9781845,1784504641.5993314,
bfcl:multiple_171:0000,892.3634660895914,1787.164370995015,56,140.0,889.921389054507,1784.7222939599305,2.442077035084367,ood:bfcl,fcfs,mixed,1784504643.0846705,1784504643.0871143,1784504643.9770494,1784504644.8718505,
toolace-008773:0000,1294.019619235769,4720.502975163981,177,442.5,1290.9792801365256,4717.462636064738,3.0403390992432833,id:toolace,fcfs,mixed,1784504647.7509754,1784504647.7540174,1784504649.0450277,1784504652.4715104,
toolace-000038:0003,1036.2360766157508,18161.1376486253,693,1532.5,1035.8154489658773,18160.717020975426,0.4206276498734951,id:toolace,fcfs,mixed,1784504650.3774197,1784504650.37784,1784504651.4136631,1784504668.5385642,
bfcl:simple_379:0000,684.9443665705621,1939.4077374599874,40,100.0,684.0191481169313,1938.4825190063566,0.925218453630805,ood:bfcl,fcfs,mixed,1784504660.861877,1784504660.8628023,1784504661.5468302,1784504662.8012931,
toolace-006489:0000,1486.9069263804704,6023.175881477073,130,325.0,1485.817909007892,6022.086864104494,1.0890173725783825,id:toolace,fcfs,mixed,1784504661.2397366,1784504661.2408257,1784504662.726652,1784504667.2629209,
toolace-004698:0000,1420.1008065138012,7096.392231527716,177,447.5,1419.8658640962094,7096.157289110124,0.23494241759181023,id:toolace,fcfs,mixed,1784504661.399305,1784504661.3995402,1784504662.8194137,1784504668.4957056,
bfcl:multi_turn_base_26:0000,1165.0596279650927,3389.4121770281345,61,152.5,1164.0899509657174,3388.4425000287592,0.9696769993752241,ood:bfcl,fcfs,mixed,1784504663.0128076,1784504663.0137775,1784504664.1778762,1784504666.4022286,
toolace-000051:0001,975.8818710688502,4710.796454921365,150,375.0,975.0392090063542,4709.953792858869,0.8426620624959469,id:toolace,fcfs,mixed,1784504666.5687358,1784504666.5695791,1784504667.5446265,1784504671.2795408,
toolace-001546:0000,850.3131330944598,5888.968060258776,184,460.0,849.979022052139,5888.633949216455,0.3341110423207283,id:toolace,fcfs,mixed,1784504667.404797,1784504667.405132,1784504668.2551215,1784504673.2937756,
toolace-001092:0000,976.2188559398055,2429.3518639169633,40,100.0,976.0774129536003,2429.210420930758,0.14144298620522022,id:toolace,fcfs,mixed,1784504669.390419,1784504669.390561,1784504670.3666506,1784504671.8197834,
bfcl:multi_turn_long_context_13:0000,1199.613054515794,3626.0993864852935,69,172.5,1199.1382469423115,3625.624578911811,0.4748075734823942,ood:bfcl,fcfs,mixed,1784504669.7715495,1784504669.772025,1784504670.9711788,1784504673.397665,
toolace-006436:0000,960.2687708102167,2723.2462528627366,75,117.5,959.5189387910068,2722.4964208435267,0.7498320192098618,id:toolace,fcfs,mixed,1784504671.7066526,1784504671.7074027,1784504672.6669326,1784504674.42991,
bfcl:live_multiple_724-165-11:0000,1346.0725212935358,2385.5187443550676,64,160.0,1344.2664959002286,2383.7127189617604,1.806025393307209,ood:bfcl,fcfs,mixed,1784504675.2852473,1784504675.2870553,1784504676.6313384,1784504677.6707845,
bfcl:live_irrelevance_593-188-0:0000,950.8579422254115,1436.9117643218488,24,60.0,948.7033400218934,1434.7571621183306,2.1546022035181522,ood:bfcl,fcfs,mixed,1784504675.5753589,1784504675.577516,1784504676.5262384,1784504677.0122929,
toolace-000399:0002,984.5384529326111,2440.7293170224875,62,107.5,976.9029829185456,2433.093847008422,7.635470014065504,id:toolace,fcfs,mixed,1784504683.1128693,1784504683.1205068,1784504684.097426,1784504685.553617,
toolace-007141:0000,1252.9559372924268,4366.469542263076,153,382.5,1252.149528823793,4365.663133794442,0.8064084686338902,id:toolace,fcfs,mixed,1784504683.7724361,1784504683.773244,1784504685.0254056,1784504688.1389184,
bfcl:exec_parallel_1:0000,840.1175145991147,6487.158985575661,273,682.5,839.3278191797435,6486.36929015629,0.7896954193711281,ood:bfcl,fcfs,mixed,1784504683.7985508,1784504683.7993402,1784504684.638673,1784504690.2857153,
toolace-008090:0000,1214.6646426990628,2611.1938366666436,78,195.0,1212.932782014832,2609.4619759824127,1.7318606842309237,id:toolace,fcfs,mixed,1784504684.4452286,1784504684.4469607,1784504685.659903,1784504687.0564327,
toolace-003354:0000,727.432556450367,1578.4192935097963,39,92.5,726.2275849934667,1577.214322052896,1.204971456900239,id:toolace,fcfs,mixed,1784504686.307869,1784504686.309074,1784504687.0353143,1784504687.8863015,
bfcl:live_simple_242-126-0:0000,496.0992750711739,907.2556679602712,27,67.5,495.3242330811918,906.4806259702891,0.7750419899821281,ood:bfcl,fcfs,mixed,1784504686.8071854,1784504686.807961,1784504687.303296,1784504687.7144523,
bfcl:parallel_multiple_45:0000,812.7011267933995,2239.887266885489,84,210.0,811.0017098952085,2238.1878499872983,1.6994168981909752,ood:bfcl,fcfs,mixed,1784504690.4043179,1784504690.406017,1784504691.2170353,1784504692.6442215,
toolace-005932:0000,1550.9137690532953,3341.9746721629053,74,185.0,1548.561534844339,3339.622437953949,2.352234208956361,id:toolace,fcfs,mixed,1784504694.0875685,1784504694.0899215,1784504695.6384938,1784504697.4295547,
toolace-005389:0000,1359.5085020642728,3030.7584921829402,60,150.0,1359.3047258909792,3030.5547160096467,0.20377617329359055,id:toolace,fcfs,mixed,1784504694.1221952,1784504694.122399,1784504695.4817114,1784504697.152961,
bfcl:live_simple_14-3-10:0000,661.7243357468396,1338.677326682955,43,107.5,661.3611101638526,1338.314101099968,0.3632255829870701,ood:bfcl,fcfs,mixed,1784504697.2389836,1784504697.239347,1784504697.9007163,1784504698.5776694,
bfcl:live_multiple_259-123-0:0000,1277.4817743338645,2012.4856552574784,52,130.0,1276.5399671625346,2011.5438480861485,0.9418071713298559,ood:bfcl,fcfs,mixed,1784504698.9462743,1784504698.947216,1784504700.2237651,1784504700.958769,
bfcl:live_simple_211-117-3:0000,912.9538123961538,1608.4398583043367,45,112.5,912.3556681443006,1607.8417140524834,0.5981442518532276,ood:bfcl,fcfs,mixed,1784504699.310737,1784504699.311335,1784504700.2236986,1784504700.919185,
bfcl:simple_252:0000,734.5424357336015,2084.6320767886937,70,175.0,730.9267080854625,2081.0163491405547,3.615727648139,ood:bfcl,fcfs,mixed,1784504703.7511673,1784504703.7547834,1784504704.4857242,1784504705.8358135,
toolace-004368:0000,1143.293728819117,1544.9970548506826,27,67.5,1142.763399053365,1544.4667250849307,0.5303297657519579,id:toolace,fcfs,mixed,1784504704.1724894,1784504704.1730196,1784504705.3157916,1784504705.717495,
toolace-009879:0000,1116.3175725378096,4813.790541607887,192,480.0,1112.846934935078,4810.319904005155,3.4706376027315855,id:toolace,fcfs,mixed,1784504708.8986495,1784504708.9021215,1784504710.0149834,1784504713.7124565,
bfcl:multi_turn_composite_195:0000,1201.3059072196484,1605.5800542235374,32,80.0,1200.0582821201533,1604.3324291240424,1.2476250994950533,ood:bfcl,fcfs,mixed,1784504710.558448,1784504710.559696,1784504711.7597647,1784504712.1640387,
toolace-000233:0001,909.2171753291041,2583.462694194168,85,212.5,906.6510230768472,2580.896541941911,2.5661522522568703,id:toolace,fcfs,mixed,1784504715.5640564,1784504715.566623,1784504716.4732857,1784504718.1475313,
toolace-000112:0003,960.2832952514291,4009.3329772353172,143,350.0,957.4924351181835,4006.5421171020716,2.7908601332455873,id:toolace,fcfs,mixed,1784504719.8557606,1784504719.8585522,1784504720.8160572,1784504723.8651063,
toolace-004016:0000,1277.16272813268,3473.864702042192,120,297.5,1276.6282320953906,3473.3302060049027,0.5344960372895002,id:toolace,fcfs,mixed,1784504720.0716708,1784504720.0722053,1784504721.348841,1784504723.545543,
bfcl:live_multiple_198-90-0:0000,1200.6842710543424,1321.5084080584347,16,40.0,1196.415876969695,1317.2400139737874,4.268394084647298,ood:bfcl,fcfs,mixed,1784504727.4726784,1784504727.4769478,1784504728.673377,1784504728.794201,
