request_id,ttft_ms,ttlt_ms,output_tokens,baseline_service_ms,send_ttft_ms,send_ttlt_ms,dispatch_lag_ms,category,policy,profile,scheduled_at_unix_s,dispatched_at_unix_s,first_token_at_unix_s,completed_at_unix_s,error
bfcl:live_multiple_17-4-9:0000,1394.5750624407083,1988.6595143470913,43,107.5,1392.576334066689,1986.660785973072,1.9987283740192652,ood:bfcl,tail_safe,mixed,1784506628.267251,1784506628.269251,1784506629.6618419,1784506630.2559261,
toolace-003460:0000,1481.6377479583025,4773.307477124035,193,482.5,1480.7063860353082,4772.376115201041,0.931361922994256,id:toolace,tail_safe,mixed,1784506628.2726295,1784506628.2735608,1784506629.7542713,1784506633.0459409,
toolace-000149:0001,945.0602212455124,3127.9546471778303,121,375.0,943.8505959697068,3126.7450219020247,1.2096252758055925,id:toolace,tail_safe,mixed,1784506630.491977,1784506630.4931872,1784506631.4370549,1784506633.6199486,
bfcl:live_simple_112-68-0:0000,1052.2626559250057,2941.2124110385776,103,257.5,1052.018652902916,2940.968408016488,0.24400302208960056,ood:bfcl,tail_safe,mixed,1784506633.7600265,1784506633.7602708,1784506634.8122983,1784506636.701248,
toolace-003764:0000,1299.6902675367892,1864.42804755643,41,102.5,1298.3192401006818,1863.0570201203227,1.371027436107397,id:toolace,tail_safe,mixed,1784506634.4201744,1784506634.4215455,1784506635.7198691,1784506636.2846072,
toolace-008645:0000,1366.766665596515,2059.4294876791537,54,135.0,1366.2910698913038,2058.9538919739425,0.47559570521116257,id:toolace,tail_safe,mixed,1784506634.4841306,1784506634.4846075,1784506635.8509126,1784506636.5435765,
bfcl:multi_turn_miss_func_161:0000,1111.5963731426746,4236.569377128035,170,397.5,1110.924120992422,4235.897124977782,0.6722521502524614,ood:bfcl,tail_safe,mixed,1784506636.8941276,1784506636.8948026,1784506638.0057502,1784506641.1307235,
bfcl:parallel_161:0000,568.0232264567167,13191.357023548335,668,1670.0,567.4484670162201,13190.782264107838,0.5747594404965639,ood:bfcl,tail_safe,mixed,1784506636.9692986,1784506636.9698756,1784506637.5373497,1784506650.160683,
toolace-001438:0000,793.8946459908038,1864.9114521685988,64,160.0,793.4387759305537,1864.4555821083486,0.4558700602501631,id:toolace,tail_safe,mixed,1784506643.2227755,1784506643.2232316,1784506644.0166802,1784506645.087696,
toolace-008412:0000,1237.7667110413313,1932.0943341590464,42,72.5,1237.2147899586707,1931.5424130763859,0.5519210826605558,id:toolace,tail_safe,mixed,1784506643.9050593,1784506643.9056118,1784506645.1428344,1784506645.8371623,
toolace-007683:0000,1240.4680466279387,4373.633428476751,174,422.5,1239.6686479914933,4372.834029840305,0.7993986364454031,id:toolace,tail_safe,mixed,1784506644.295775,1784506644.2965748,1784506645.536254,1784506648.6694193,
bfcl:live_irrelevance_647-205-1:0000,1251.8312886822969,1834.0620268136263,43,107.5,1251.3466069940478,1833.5773451253772,0.4846816882491112,ood:bfcl,tail_safe,mixed,1784506646.9652226,1784506646.9657078,1784506648.2170644,1784506648.799295,
bfcl:multiple_171:0000,890.5549815390259,1672.4945076275617,56,140.0,885.4219617787749,1667.3614878673106,5.133019760251045,ood:bfcl,tail_safe,mixed,1784506654.7014577,1784506654.706593,1784506655.5920303,1784506656.3739696,
toolace-008773:0000,1204.9705178942531,4205.340072745457,177,442.5,1203.7019729614258,4204.07152781263,1.2685449328273535,id:toolace,tail_safe,mixed,1784506657.0425255,1784506657.043794,1784506658.2475045,1784506661.247874,
toolace-000038:0003,1020.5131308175623,14519.79340496473,748,1532.5,1019.8609929066151,14519.141267053783,0.6521379109472036,id:toolace,tail_safe,mixed,1784506659.375597,1784506659.37625,1784506660.3961241,1784506673.8954036,
bfcl:simple_379:0000,556.2448124401271,1130.4488223977387,40,100.0,555.7956141419709,1129.9996240995824,0.44919829815626144,ood:bfcl,tail_safe,mixed,1784506664.8276658,1784506664.8281157,1784506665.3839226,1784506665.9581275,
toolace-006489:0000,1197.5832206662744,3366.797498660162,130,325.0,1196.647902019322,3365.8621800132096,0.9353186469525099,id:toolace,tail_safe,mixed,1784506668.7147338,1784506668.7156699,1784506669.9123294,1784506672.0815437,
toolace-004698:0000,1237.6417897175997,4432.973962742835,177,447.5,1237.3110039625317,4432.643176987767,0.33078575506806374,id:toolace,tail_safe,mixed,1784506672.6926425,1784506672.6929734,1784506673.9302921,1784506677.125625,
bfcl:multi_turn_base_26:0000,1218.6505382414907,2331.409960286692,61,152.5,1218.37030001916,2331.129722064361,0.28023822233080864,ood:bfcl,tail_safe,mixed,1784506674.7944689,1784506674.79475,1784506676.013131,1784506677.12589,
toolace-000051:0001,990.9000312909484,3648.416553158313,150,375.0,988.1258450914174,3645.642366958782,2.774186199530959,id:toolace,tail_safe,mixed,1784506679.2096198,1784506679.2123954,1784506680.200534,1784506682.8580508,
toolace-001546:0000,855.5315581616014,3866.4333489723504,184,460.0,854.4470111373812,3865.34880194813,1.0845470242202282,id:toolace,tail_safe,mixed,1784506681.7981265,1784506681.7992115,1784506682.6536689,1784506685.6645708,
toolace-001092:0000,976.1507194489241,1658.4465294145048,40,100.0,974.2576559074223,1656.553465873003,1.8930635415017605,id:toolace,tail_safe,mixed,1784506686.5308673,1784506686.5327628,1784506687.5070395,1784506688.1893353,
bfcl:multi_turn_long_context_13:0000,1177.3009051103145,2451.545079238713,69,172.5,1172.8939909953624,2447.1381651237607,4.406914114952087,ood:bfcl,tail_safe,mixed,1784506691.45748,1784506691.4618888,1784506692.6347954,1784506693.9090395,
toolace-006436:0000,970.7128214649856,2281.25886246562,75,117.5,969.740646192804,2280.2866871934384,0.9721752721816301,id:toolace,tail_safe,mixed,1784506692.5483599,1784506692.549334,1784506693.5190902,1784506694.829636,
bfcl:live_multiple_724-165-11:0000,1181.4295235089958,2072.8986584581435,64,160.0,1180.6359000038356,2072.1050349529833,0.7936235051602125,ood:bfcl,tail_safe,mixed,1784506694.463481,1784506694.4642746,1784506695.6449187,1784506696.5363884,
bfcl:live_irrelevance_593-188-0:0000,961.7355901282281,1362.8845370840281,24,60.0,960.8457230497152,1361.9946700055152,0.889867078512907,ood:bfcl,tail_safe,mixed,1784506696.761866,1784506696.762756,1784506697.723611,1784506698.1247602,
toolace-000399:0002,997.9936273302883,2065.4856383334845,62,107.5,995.2745561022311,2062.7665671054274,2.719071228057146,id:toolace,tail_safe,mixed,1784506700.4667313,1784506700.4694529,1784506701.4647443,1784506702.5322363,
toolace-007141:0000,1153.653550427407,3572.3743024282157,153,382.5,1150.9565331507474,3569.677285151556,2.697017276659608,id:toolace,tail_safe,mixed,1784506704.2405503,1784506704.2432497,1784506705.3942213,1784506707.812942,
bfcl:exec_parallel_1:0000,816.8187087867409,5604.460113681853,273,682.5,812.8409921191633,5600.482397014275,3.9777166675776243,ood:bfcl,tail_safe,mixed,1784506715.6872852,1784506715.6912649,1784506716.5041192,1784506721.2917614,
toolace-008090:0000,1197.845296235755,2405.217215185985,78,195.0,1197.079336969182,2404.451255919412,0.7659592665731907,id:toolace,tail_safe,mixed,1784506716.4310842,1784506716.4318504,1784506717.628938,1784506718.83631,
toolace-003354:0000,739.7369376849383,1452.3285005707294,39,92.5,738.9672191347927,1451.5587820205837,0.7697185501456261,id:toolace,tail_safe,mixed,1784506717.3655043,1784506717.3662753,1784506718.105257,1784506718.8178477,
bfcl:live_simple_242-126-0:0000,477.2470914758742,828.6815043538809,27,67.5,476.57806891947985,828.0124817974865,0.6690225563943386,ood:bfcl,tail_safe,mixed,1784506719.2097151,1784506719.2103846,1784506719.6869738,1784506720.0384083,
bfcl:parallel_multiple_45:0000,789.7775762248784,2135.3211221285164,84,210.0,789.2392131034285,2134.7827590070665,0.5383631214499474,ood:bfcl,tail_safe,mixed,1784506721.4198532,1784506721.4203942,1784506722.209655,1784506723.555199,
toolace-005932:0000,1271.075087133795,2400.516906986013,74,185.0,1269.8052390478551,2399.247058900073,1.2698480859398842,id:toolace,tail_safe,mixed,1784506722.2455354,1784506722.2468057,1784506723.5166233,1784506724.646065,
toolace-005389:0000,1179.2727238498628,2100.45327572152,60,150.0,1178.3744511194527,2099.55500299111,0.898272730410099,id:toolace,tail_safe,mixed,1784506722.711955,1784506722.7128537,1784506723.8912356,1784506724.8124158,
bfcl:live_simple_14-3-10:0000,671.1503928527236,1264.1916018910706,43,107.5,670.3394579235464,1263.3806669618934,0.810934929177165,ood:bfcl,tail_safe,mixed,1784506724.1031208,1784506724.1039326,1784506724.7742844,1784506725.3673255,
bfcl:live_multiple_259-123-0:0000,1242.897235788405,1887.5775667838752,52,130.0,1241.8212469201535,1886.5015779156238,1.075988868251443,ood:bfcl,tail_safe,mixed,1784506724.8177047,1784506724.818781,1784506726.0606124,1784506726.7052925,
bfcl:live_simple_211-117-3:0000,881.2195507343858,1454.447902739048,45,112.5,879.8002558760345,1453.0286078806967,1.4192948583513498,ood:bfcl,tail_safe,mixed,1784506725.9620128,1784506725.963434,1784506726.8432522,1784506727.4164808,
bfcl:simple_252:0000,698.0846920050681,1720.9843329619616,70,175.0,696.8573399353772,1719.7569808922708,1.2273520696908236,ood:bfcl,tail_safe,mixed,1784506727.7338502,1784506727.7350795,1784506728.4319494,1784506729.454848,
toolace-004368:0000,1178.093730704859,1512.0557826012373,27,67.5,1177.2636780515313,1511.2257299479097,0.8300526533275843,id:toolace,tail_safe,mixed,1784506729.9216712,1784506729.9225016,1784506731.0997775,1784506731.433739,
toolace-009879:0000,1134.5130042172968,4376.123911002651,192,480.0,1132.9515401739627,4374.562446959317,1.5614640433341265,id:toolace,tail_safe,mixed,1784506732.6397974,1784506732.641361,1784506733.7743316,1784506737.0159416,
bfcl:multi_turn_composite_195:0000,1259.85706737265,1611.6424624342471,32,80.0,1258.0715159419924,1609.8569110035896,1.785551430657506,ood:bfcl,tail_safe,mixed,1784506733.8768868,1784506733.8786743,1784506735.1367655,1784506735.488551,
toolace-000233:0001,996.5595297981054,2459.566314937547,85,212.5,994.4525689352304,2457.459354074672,2.1069608628749847,id:toolace,tail_safe,mixed,1784506737.8427918,1784506737.8448987,1784506738.8393607,1784506740.3023674,
toolace-000112:0003,1141.4282489567995,3855.493023060262,143,350.0,1141.1062509287149,3855.1710250321776,0.32199802808463573,id:toolace,tail_safe,mixed,1784506740.282823,1784506740.2831454,1784506741.4242637,1784506744.1383278,
toolace-004016:0000,1309.5521088689566,3344.7974757291377,120,297.5,1307.7660480048507,3343.011414865032,1.7860608641058207,id:toolace,tail_safe,mixed,1784506740.3728223,1784506740.3746083,1784506741.6823802,1784506743.7176256,
bfcl:live_multiple_198-90-0:0000,1225.441668415442,1338.9825613703579,16,40.0,1224.4431779254228,1337.9840708803385,0.9984904900193214,ood:bfcl,tail_safe,mixed,1784506741.731733,1784506741.7327316,1784506742.9571855,1784506743.0707264,
toolace-006395:0000,1043.579684337601,4820.59033238329,222,555.0,1042.1825179364532,4819.193165982142,1.3971664011478424,id:toolace,tail_safe,mixed,1784506744.8288774,1784506744.8302753,1784506745.872469,1784506749.6494796,
toolace-010479:0000,1125.0053253024817,1550.9219414088875,33,82.5,1124.1677210200578,1550.0843371264637,0.8376042824238539,id:toolace,tail_safe,mixed,1784506745.7446089,1784506745.7454472,1784506746.8696232,1784506747.2955399,
bfcl:simple_246:0000,612.8878511954099,964.4759381189942,32,80.0,611.4713121205568,963.0593990441412,1.4165390748530626,ood:bfcl,tail_safe,mixed,1784506748.024042,1784506748.0254586,1784506748.6369395,1784506748.9885273,
toolace-005737:0000,1099.8806795105338,3291.244427440688,135,295.0,1098.9860768895596,3290.349824819714,0.8946026209741831,id:toolace,tail_safe,mixed,1784506749.8669624,1784506749.8678575,1784506750.9668536,1784506753.1582172,
toolace-010154:0000,989.8086676839739,1823.1051426846534,57,142.5,986.2847339827567,1819.5812089834362,3.5239337012171745,id:toolace,tail_safe,mixed,1784506756.280124,1784506756.2836494,1784506757.2699497,1784506758.1032457,
toolace-007906:0000,1135.4282933752984,1538.1462085060775,33,82.5,1133.694059913978,1536.4119750447571,1.7342334613204002,id:toolace,tail_safe,mixed,1784506758.9886324,1784506758.9903684,1784506760.1240733,1784506760.5267906,
toolace-008651:0000,1302.1218348294497,2700.075157918036,99,322.5,1300.8831290062517,2698.836452094838,1.2387058231979609,id:toolace,tail_safe,mixed,1784506761.3117182,1784506761.3129587,1784506762.6138577,1784506764.011811,
bfcl:live_simple_246-128-0:0000,613.7323745060712,1377.2795295808464,53,132.5,612.8569599241018,1376.404114998877,0.8754145819693804,ood:bfcl,tail_safe,mixed,1784506763.9907148,1784506763.9915907,1784506764.6044588,1784506765.368006,
bfcl:live_irrelevance_367-81-28:0000,1000.633632298559,9759.790810290724,476,1230.0,998.0576520320028,9757.214830024168,2.5759802665561438,ood:bfcl,tail_safe,mixed,1784506767.366715,1784506767.369291,1784506768.3673568,1784506777.1265142,
bfcl:live_multiple_487-147-2:0000,1409.6697610802948,3756.5049200784415,134,335.0,1409.2678900342435,3756.10304903239,0.401871046051383,ood:bfcl,tail_safe,mixed,1784506769.6962607,1784506769.696663,1784506771.1059391,1784506773.4527743,
bfcl:live_multiple_930-191-18:0000,1172.880698228255,1550.653497222811,30,75.0,1172.3734210245311,1550.1462200190872,0.5072772037237883,ood:bfcl,tail_safe,mixed,1784506770.5654528,1784506770.5659602,1784506771.738342,1784506772.1161149,
bfcl:live_irrelevance_228-35-3:0000,955.7576414663345,1648.8459454849362,41,102.5,955.4683330934495,1648.5566371120512,0.2893083728849888,ood:bfcl,tail_safe,mixed,1784506776.467451,1784506776.467741,1784506777.4232187,1784506778.116307,
bfcl:live_irrelevance_653-206-2:0000,1035.6872333213687,1645.6639871466905,36,90.0,1034.4175870995969,1644.3943409249187,1.2696462217718363,ood:bfcl,tail_safe,mixed,1784506777.2727733,1784506777.2740445,1784506778.3084755,1784506778.918452,
toolace-000143:0002,1001.6505108214915,7248.471955768764,319,835.0,999.8006450477988,7246.622089995071,1.849865773692727,id:toolace,tail_safe,mixed,1784506780.5074227,1784506780.5092738,1784506781.5090888,1784506787.7559102,
bfcl:multi_turn_miss_func_197:0000,1018.909374717623,3441.3797417655587,130,550.0,1017.6906890701503,3440.161056118086,1.2186856474727392,ood:bfcl,tail_safe,mixed,1784506780.9154854,1784506780.9167056,1784506781.934408,1784506784.356878,
toolace-004526:0000,745.3271397389472,1196.3645697105676,34,85.0,744.289651978761,1195.3270819503814,1.0374877601861954,id:toolace,tail_safe,mixed,1784506782.9372916,1784506782.9383295,1784506783.682628,1784506784.133665,
toolace-000006:0001,975.3149910829961,2235.4645130690187,69,172.5,975.0351561233401,2235.1846781093627,0.27983495965600014,id:toolace,tail_safe,mixed,1784506784.5824153,1784506784.5826957,1784506785.557744,1784506786.8178942,
bfcl:live_parallel_multiple_15-13-0:0000,1244.495595106855,2567.642606096342,78,195.0,1243.0788690689951,2566.2258800584823,1.4167260378599167,ood:bfcl,tail_safe,mixed,1784506786.4214628,1784506786.4228797,1784506787.6659663,1784506788.9891133,
bfcl:live_relevance_14-14-0:0000,1133.3198484499007,2106.4027415122837,53,132.5,1131.8867318332195,2104.9696248956025,1.4331166166812181,ood:bfcl,tail_safe,mixed,1784506786.5325694,1784506786.5340028,1784506787.6658962,1784506788.6389797,
bfcl:parallel_152:0000,480.92841636389494,2545.9981004241854,103,257.5,479.9639629200101,2545.0336469803005,0.9644534438848495,ood:bfcl,tail_safe,mixed,1784506786.8596745,1784506786.8606389,1784506787.3406134,1784506789.4056835,
toolace-002488:0000,889.9552479851991,1878.9164738263935,70,175.0,886.9654810987413,1875.9267069399357,2.989766886457801,id:toolace,tail_safe,mixed,1784506791.7312806,1784506791.7342708,1784506792.6212473,1784506793.6102087,
bfcl:multi_turn_long_context_132:0000,1208.7583856191486,2013.004657579586,47,107.5,1207.609524950385,2011.8557969108224,1.1488606687635183,ood:bfcl,tail_safe,mixed,1784506794.5884898,1784506794.589639,1784506795.7972572,1784506796.6015031,
toolace-000113:0002,1266.891374019906,4057.269375072792,170,425.0,1261.0462859738618,4051.424287026748,5.845088046044111,id:toolace,tail_safe,mixed,1784506802.1084414,1784506802.1142883,1784506803.3753505,1784506806.1657283,
bfcl:rest_30:0000,1189.8523874115199,1905.0345865543932,47,117.5,1186.4659858401865,1901.6481849830598,3.3864015713334084,ood:bfcl,tail_safe,mixed,1784506809.1446807,1784506809.148069,1784506810.3345485,1784506811.0497305,
toolace-002128:0000,939.5622597075999,2889.2957067582756,106,85.0,938.5550869628787,2888.2885340135545,1.0071727447211742,id:toolace,tail_safe,mixed,1784506809.3206825,1784506809.3216898,1784506810.2602525,1784506812.209986,
bfcl:irrelevance_40:0000,421.92373028956354,2934.9688922520727,132,330.0,421.0925109218806,2934.1376728843898,0.8312193676829338,ood:bfcl,tail_safe,mixed,1784506809.3969388,1784506809.3977702,1784506809.8188698,1784506812.3319147,
bfcl:parallel_multiple_143:0000,1094.2597470711917,3023.2976300176233,121,302.5,1087.995553156361,3017.0334361027926,6.264193914830685,ood:bfcl,tail_safe,mixed,1784506817.5611336,1784506817.5673997,1784506818.6554089,1784506820.5844467,
bfcl:live_irrelevance_691-225-1:0000,1041.2642718292773,2144.802219932899,64,152.5,1040.6615880783647,2144.1995361819863,0.6026837509125471,ood:bfcl,tail_safe,mixed,1784506820.7371843,1784506820.7377875,1784506821.7784576,1784506822.881995,
bfcl:java_88:0000,900.0092775095254,2214.305146597326,84,210.0,899.5478509459645,2213.843720033765,0.4614265635609627,ood:bfcl,tail_safe,mixed,1784506822.6411743,1784506822.641636,1784506823.5411901,1784506824.8554857,
