request_id,ttft_ms,ttlt_ms,output_tokens,baseline_service_ms,send_ttft_ms,send_ttlt_ms,dispatch_lag_ms,category,policy,profile,scheduled_at_unix_s,dispatched_at_unix_s,first_token_at_unix_s,completed_at_unix_s,error
bfcl:live_multiple_17-4-9:0000,1323.2744093984365,1916.9034264050424,43,107.5,1320.3557289671153,1913.9847459737211,2.9186804313212633,ood:bfcl,tail_safe,mixed,1784507360.3691838,1784507360.3721035,1784507361.692472,1784507362.286102,
toolace-003460:0000,1257.5881604570895,4638.861968647689,193,482.5,1256.5560899674892,4637.829898158088,1.0320704896003008,id:toolace,tail_safe,mixed,1784507360.5643506,1784507360.5653832,1784507361.8219485,1784507365.2032223,
toolace-000149:0001,944.0748852211982,3228.8763963151723,121,375.0,942.9406959097832,3227.7422070037574,1.134189311414957,id:toolace,tail_safe,mixed,1784507362.0847073,1784507362.0858421,1784507363.028797,1784507365.3135982,
bfcl:live_simple_112-68-0:0000,1067.9689114913344,2784.2764225788414,103,257.5,1067.1155080199242,2783.423019107431,0.8534034714102745,ood:bfcl,tail_safe,mixed,1784507363.3816674,1784507363.3825214,1784507364.449648,1784507366.1659553,
toolace-003764:0000,1124.906140146777,1650.0952010974288,41,102.5,1124.1602969821543,1649.349357932806,0.7458431646227837,id:toolace,tail_safe,mixed,1784507366.0117218,1784507366.0124679,1784507367.1366389,1784507367.6618276,
toolace-008645:0000,1250.868069473654,2111.942610470578,54,135.0,1243.7891750596464,2104.8637160565704,7.078894414007664,id:toolace,tail_safe,mixed,1784507373.5819178,1784507373.5889976,1784507374.8327992,1784507375.693874,
bfcl:multi_turn_miss_func_161:0000,1141.8151643592864,4129.663503495976,170,397.5,1140.2554479427636,4128.1037870794535,1.5597164165228605,ood:bfcl,tail_safe,mixed,1784507374.1479785,1784507374.1495383,1784507375.2898011,1784507378.2776494,
bfcl:parallel_161:0000,590.1226203422993,13102.759679313749,668,1670.0,584.5850328914821,13097.222091862932,5.537587450817227,ood:bfcl,tail_safe,mixed,1784507381.9401078,1784507381.9456463,1784507382.5302439,1784507395.0428805,
toolace-001438:0000,732.1701310575008,1730.0699800252914,64,160.0,731.7789031658322,1729.6787521336228,0.39122789166867733,id:toolace,tail_safe,mixed,1784507384.4373748,1784507384.4377658,1784507385.1695557,1784507386.1674554,
toolace-008412:0000,1356.6702504176646,2123.040485428646,42,72.5,1355.624401010573,2121.9946360215545,1.0458494070917368,id:toolace,tail_safe,mixed,1784507387.7210567,1784507387.7221026,1784507389.0777373,1784507389.844107,
toolace-007683:0000,1393.2966038119048,4540.824461961165,174,422.5,1392.3496408388019,4539.877498988062,0.9469629731029272,id:toolace,tail_safe,mixed,1784507388.0706935,1784507388.0716403,1784507389.4639976,1784507392.6115255,
bfcl:live_irrelevance_647-205-1:0000,1246.4999416843057,1869.5576007012278,43,107.5,1246.184687828645,1869.2423468455672,0.31525385566055775,ood:bfcl,tail_safe,mixed,1784507388.255059,1784507388.2553744,1784507389.501567,1784507390.1246245,
bfcl:multiple_171:0000,887.7783291973174,1832.7103573828936,56,140.0,886.9619739707559,1831.8940021563321,0.8163552265614271,ood:bfcl,tail_safe,mixed,1784507389.34897,1784507389.349786,1784507390.2367573,1784507391.1816895,
toolace-008773:0000,1285.125455353409,4306.35476228781,177,442.5,1284.3242741655558,4305.553581099957,0.8011811878532171,id:toolace,tail_safe,mixed,1784507389.9150057,1784507389.9158068,1784507391.2001386,1784507394.2213676,
toolace-000038:0003,1039.0214556828141,14853.321444708854,684,1532.5,1037.434004014358,14851.733993040398,1.5874516684561968,id:toolace,tail_safe,mixed,1784507394.1741312,1784507394.1757185,1784507395.213159,1784507409.0274594,
bfcl:simple_379:0000,549.6662331279367,1172.8154260199517,40,100.0,548.9489040337503,1172.0980969257653,0.7173290941864252,ood:bfcl,tail_safe,mixed,1784507396.131814,1784507396.1325314,1784507396.6814902,1784507397.3046396,
toolace-006489:0000,1127.0027649588883,3291.1420529708266,130,325.0,1126.2689030263573,3290.4081910382956,0.7338619325309992,id:toolace,tail_safe,mixed,1784507396.2141418,1784507396.2148762,1784507397.3411522,1784507399.505292,
toolace-004698:0000,1223.988490877673,4733.1351628527045,177,447.5,1223.5656999982893,4732.712371973321,0.4227908793836832,id:toolace,tail_safe,mixed,1784507399.530118,1784507399.5305402,1784507400.7541118,1784507404.2632577,
bfcl:multi_turn_base_26:0000,1194.673048099503,2478.631124133244,61,152.5,1194.1526900045574,2478.1107660382986,0.52035809494555,ood:bfcl,tail_safe,mixed,1784507400.1181557,1784507400.118677,1784507401.312842,1784507402.5968006,
toolace-000051:0001,994.4953906815499,3851.0144997853786,150,375.0,993.4864670503885,3850.005576154217,1.0089236311614513,id:toolace,tail_safe,mixed,1784507400.8069694,1784507400.8079782,1784507401.801477,1784507404.6579957,
toolace-001546:0000,847.9604793246835,4220.983989303932,184,460.0,847.2618728410453,4220.285382820293,0.6986064836382866,id:toolace,tail_safe,mixed,1784507401.8990312,1784507401.8997297,1784507402.7469966,1784507406.1200202,
toolace-001092:0000,1006.308059906587,1740.1659057941288,40,100.0,1005.7192191015929,1739.5770649891347,0.5888408049941063,id:toolace,tail_safe,mixed,1784507404.3242524,1784507404.3248413,1784507405.330569,1784507406.0644276,
bfcl:multi_turn_long_context_13:0000,1194.9412159156054,2536.3260719459504,69,172.5,1193.970924941823,2535.355780972168,0.9702909737825394,ood:bfcl,tail_safe,mixed,1784507405.4165838,1784507405.417554,1784507406.6115336,1784507407.9529183,
toolace-006436:0000,1012.8213977441192,2407.4061575811356,75,117.5,1012.5551831442863,2407.1399429813027,0.2662145998328924,id:toolace,tail_safe,mixed,1784507405.6933494,1784507405.6936164,1784507406.7061856,1784507408.1007702,
bfcl:live_multiple_724-165-11:0000,1308.0643292050809,2225.376690272242,64,160.0,1307.651514885947,2224.963875953108,0.41281431913375854,ood:bfcl,tail_safe,mixed,1784507407.3444285,1784507407.3448412,1784507408.6525018,1784507409.5698142,
bfcl:live_irrelevance_593-188-0:0000,950.4900937899947,1480.568528873846,24,60.0,949.5248799212277,1479.603315005079,0.9652138687670231,ood:bfcl,tail_safe,mixed,1784507407.3619273,1784507407.3628924,1784507408.3124206,1784507408.8424993,
toolace-000399:0002,1000.2051359042525,2142.54391589202,62,107.5,999.213719042018,2141.5524990297854,0.9914168622344732,id:toolace,tail_safe,mixed,1784507410.1005673,1784507410.1015584,1784507411.100782,1784507412.2431204,
toolace-007141:0000,1183.9027274399996,3846.045455429703,153,382.5,1182.9707641154528,3845.113492105156,0.931963324546814,id:toolace,tail_safe,mixed,1784507411.0032935,1784507411.0042262,1784507412.187208,1784507414.849351,
bfcl:exec_parallel_1:0000,896.8850064557046,5634.70104127191,273,682.5,895.4363830853254,5633.252417901531,1.4486233703792095,ood:bfcl,tail_safe,mixed,1784507412.0148604,1784507412.016309,1784507412.9117541,1784507417.64957,
toolace-008090:0000,1206.815360346809,2389.778156299144,78,195.0,1206.027921056375,2388.99071700871,0.7874392904341221,id:toolace,tail_safe,mixed,1784507412.0720127,1784507412.0728,1784507413.2788365,1784507414.4617982,
toolace-003354:0000,685.9947321936488,1393.7393922824413,42,92.5,682.3185519315302,1390.0632120203227,3.676180262118578,id:toolace,tail_safe,mixed,1784507420.4159324,1784507420.41961,1784507421.1019435,1784507421.809688,
bfcl:live_simple_242-126-0:0000,458.51581753231585,788.9058685395867,27,67.5,456.4783191308379,786.8683701381087,2.037498401477933,ood:bfcl,tail_safe,mixed,1784507422.8369715,1784507422.8390093,1784507423.295498,1784507423.625888,
bfcl:parallel_multiple_45:0000,804.7829198185354,2250.754604814574,84,210.0,796.8472831416875,2242.818968137726,7.935636676847935,ood:bfcl,tail_safe,mixed,1784507430.493998,1784507430.501934,1784507431.298791,1784507432.744762,
toolace-005932:0000,1274.500462692231,2340.116318548098,74,185.0,1273.3449439983815,2338.9607998542488,1.1555186938494444,id:toolace,tail_safe,mixed,1784507430.6999543,1784507430.7011094,1784507431.97446,1784507433.0400755,
