request_id,ttft_ms,ttlt_ms,output_tokens,baseline_service_ms,send_ttft_ms,send_ttlt_ms,dispatch_lag_ms,category,policy,profile,scheduled_at_unix_s,dispatched_at_unix_s,first_token_at_unix_s,completed_at_unix_s,error
bfcl:live_multiple_17-4-9:0000,1178.8529607001692,1739.9082647170871,43,107.5,1177.6126481126994,1738.6679521296173,1.2403125874698162,ood:bfcl,tail_safe,mixed,1784507003.3030581,1784507003.3042986,1784507004.4819176,1784507005.0429735,
toolace-003460:0000,1195.2625424601138,4307.593128411099,193,482.5,1194.5774140767753,4306.908000027761,0.6851283833384514,id:toolace,tail_safe,mixed,1784507004.5183716,1784507004.5190568,1784507005.7136428,1784507008.8259735,
toolace-000149:0001,926.1186723597348,3085.373680340126,121,375.0,924.7392099350691,3083.9942179154605,1.3794624246656895,id:toolace,tail_safe,mixed,1784507009.1531394,1784507009.154519,1784507010.07927,1784507012.2385247,
bfcl:live_simple_112-68-0:0000,1067.216182127595,2728.1324251089245,103,257.5,1066.4587880019099,2727.3750309832394,0.7573941256850958,ood:bfcl,tail_safe,mixed,1784507010.9676962,1784507010.9684546,1784507012.0349262,1784507013.695842,
toolace-003764:0000,1121.822759974748,1646.684637060389,41,102.5,1120.4230759758502,1645.2849530614913,1.3996839988976717,id:toolace,tail_safe,mixed,1784507015.964761,1784507015.9661624,1784507017.086599,1784507017.6114616,
toolace-008645:0000,1226.104283472523,1872.2538894508034,54,135.0,1225.2560588531196,1871.4056648314,0.8482246194034815,id:toolace,tail_safe,mixed,1784507016.9442172,1784507016.9450657,1784507018.1703308,1784507018.8164804,
bfcl:multi_turn_miss_func_161:0000,1095.2733778394759,3831.347093684599,157,397.5,1092.92694600299,3829.000661848113,2.3464318364858627,ood:bfcl,tail_safe,mixed,1784507020.8063953,1784507020.8087432,1784507021.9016848,1784507024.6377585,
bfcl:parallel_161:0000,570.0646361801773,12414.465345209464,662,1670.0,569.1818259656429,12413.58253499493,0.8828102145344019,ood:bfcl,tail_safe,mixed,1784507025.509222,1784507025.510106,1784507026.0792983,1784507037.9236991,
toolace-001438:0000,742.1185800340027,1740.4204371850938,64,160.0,741.6531089693308,1739.954966120422,0.46547106467187405,id:toolace,tail_safe,mixed,1784507026.5341694,1784507026.5346353,1784507027.2762983,1784507028.2746003,
toolace-008412:0000,1108.4727158304304,1700.5315849091858,42,72.5,1107.789595844224,1699.8484649229795,0.6831199862062931,id:toolace,tail_safe,mixed,1784507030.897183,1784507030.8978667,1784507032.0056684,1784507032.5977273,
toolace-007683:0000,1229.369931621477,4057.5312294531614,174,422.5,1228.816926945001,4056.9782247766852,0.553004676476121,id:toolace,tail_safe,mixed,1784507036.1388423,1784507036.139396,1784507037.3682203,1784507040.1963813,
bfcl:live_irrelevance_647-205-1:0000,1229.7223298810422,1774.626469006762,43,107.5,1228.6593317985535,1773.5634709242731,1.0629980824887753,ood:bfcl,tail_safe,mixed,1784507044.3876016,1784507044.3886664,1784507045.6173398,1784507046.162244,
bfcl:multiple_171:0000,858.3840008359402,1639.5552377216518,56,140.0,855.8791149407625,1637.050351826474,2.504885895177722,ood:bfcl,tail_safe,mixed,1784507047.8162515,1784507047.8187566,1784507048.6746435,1784507049.4558146,
toolace-008773:0000,1218.2406459469348,4201.5540837310255,177,442.5,1214.7215770091861,4198.035014793277,3.5190689377486706,id:toolace,tail_safe,mixed,1784507052.4825563,1784507052.4860759,1784507053.7008073,1784507056.684121,
toolace-000038:0003,1020.179659826681,16960.529361851513,868,1532.5,1018.5292370151728,16958.878939040005,1.6504228115081787,id:toolace,tail_safe,mixed,1784507055.1090007,1784507055.1106515,1784507056.129187,1784507072.0695367,
bfcl:simple_379:0000,540.3585103340447,1115.0614235084504,40,100.0,540.1257339399308,1114.8286471143365,0.23277639411389828,ood:bfcl,tail_safe,mixed,1784507065.593458,1784507065.593691,1784507066.133827,1784507066.7085307,
toolace-006489:0000,1264.1371812205762,3739.034525118768,130,325.0,1263.6952640023082,3738.5926079005003,0.44191721826791763,id:toolace,tail_safe,mixed,1784507065.9713175,1784507065.9717603,1784507067.2354705,1784507069.710368,
