request_id,ttft_ms,ttlt_ms,output_tokens,baseline_service_ms,send_ttft_ms,send_ttlt_ms,dispatch_lag_ms,category,policy,profile,scheduled_at_unix_s,dispatched_at_unix_s,first_token_at_unix_s,completed_at_unix_s,error
bfcl:live_multiple_17-4-9:0000,1211.5046377293766,1856.6132746636868,43,107.5,1209.0184190310538,1854.127055965364,2.486218698322773,ood:bfcl,stock_fcfs,mixed,1784503397.135109,1784503397.1375957,1784503398.346626,1784503398.9917345,
toolace-003460:0000,1276.7733784858137,4839.138819370419,193,482.5,1276.4410190284252,4838.80645991303,0.33235945738852024,id:toolace,stock_fcfs,mixed,1784503398.3504224,1784503398.3507545,1784503399.627206,1784503403.1895716,
toolace-000149:0001,948.1287356466055,3431.2330344691873,121,375.0,947.1142149996012,3430.218513822183,1.0145206470042467,id:toolace,stock_fcfs,mixed,1784503402.9851902,1784503402.9862049,1784503403.933326,1784503406.416431,
bfcl:live_simple_112-68-0:0000,1107.3001152835786,3022.530043264851,103,257.5,1106.4808210358024,3021.7107490170747,0.8192942477762699,ood:bfcl,stock_fcfs,mixed,1784503404.799747,1784503404.8005667,1784503405.9070551,1784503407.8222854,
toolace-003764:0000,1151.3067041523755,1753.1028091907501,41,102.5,1148.651127004996,1750.4472320433706,2.6555771473795176,id:toolace,stock_fcfs,mixed,1784503409.7968118,1784503409.7994676,1784503410.9481282,1784503411.549924,
toolace-008645:0000,1261.7760747671127,2003.1077829189599,54,135.0,1260.8264139853418,2002.158122137189,0.9496607817709446,id:toolace,stock_fcfs,mixed,1784503410.776268,1784503410.7772176,1784503412.0380516,1784503412.7793832,
bfcl:multi_turn_miss_func_161:0000,1133.5618149023503,4270.218813791871,157,397.5,1131.5721259452403,4268.229124834761,1.9896889571100473,ood:bfcl,stock_fcfs,mixed,1784503414.638446,1784503414.6404357,1784503415.7720172,1784503418.9086738,
bfcl:parallel_161:0000,559.3330184929073,15095.854707527906,662,1670.0,558.3514631725848,15094.873152207583,0.9815553203225136,ood:bfcl,stock_fcfs,mixed,1784503419.3412728,1784503419.3422542,1784503419.9006097,1784503434.4371312,
toolace-001438:0000,865.1323069352657,2737.5406441278756,64,160.0,864.6750869229436,2737.0834241155535,0.4572200123220682,id:toolace,stock_fcfs,mixed,1784503420.3662202,1784503420.3666773,1784503421.231357,1784503423.1037655,
toolace-008412:0000,1178.8798100315034,1853.9267152082175,42,72.5,1177.8352288529277,1852.8821340296417,1.0445811785757542,id:toolace,stock_fcfs,mixed,1784503424.7292337,1784503424.7302787,1784503425.9081213,1784503426.5831683,
toolace-007683:0000,1275.9364417288452,4645.307968836278,174,422.5,1275.0926869921386,4644.464214099571,0.8437547367066145,id:toolace,stock_fcfs,mixed,1784503429.9708931,1784503429.9717376,1784503431.246839,1784503434.6162102,
bfcl:live_irrelevance_647-205-1:0000,1289.3668559845537,1912.0810199528933,43,107.5,1285.0018839817494,1907.716047950089,4.364972002804279,ood:bfcl,stock_fcfs,mixed,1784503438.2196524,1784503438.2240183,1784503439.5090325,1784503440.131746,
bfcl:multiple_171:0000,883.213953115046,1775.20329807885,56,140.0,880.0879260525107,1772.0772710163146,3.126027062535286,ood:bfcl,stock_fcfs,mixed,1784503441.6483023,1784503441.651428,1784503442.5315218,1784503443.423511,
toolace-008773:0000,1274.6390781830996,4705.546959070489,177,442.5,1271.5309699997306,4702.43885088712,3.1081081833690405,id:toolace,stock_fcfs,mixed,1784503446.3146071,1784503446.3177161,1784503447.589259,1784503451.0201664,
toolace-000038:0003,1023.3027907088399,16955.831753788516,710,1532.5,1022.5180499255657,16955.04701300524,0.7847407832741737,id:toolace,stock_fcfs,mixed,1784503448.9410515,1784503448.9418364,1784503449.9643629,1784503465.8968914,
bfcl:simple_379:0000,578.8086396642029,1252.661490580067,40,100.0,577.8047482017428,1251.6575991176069,1.0038914624601603,ood:bfcl,stock_fcfs,mixed,1784503459.4255087,1784503459.426513,1784503460.0043254,1784503460.6781783,
toolace-006489:0000,1324.7618195600808,4941.984927514568,130,325.0,1324.2303021252155,4941.453410079703,0.5315174348652363,id:toolace,stock_fcfs,mixed,1784503459.8033683,1784503459.8038998,1784503461.1281362,1784503464.7453594,
toolace-004698:0000,1208.161459537223,5893.286053324118,177,447.5,1207.3496701195836,5892.474263906479,0.8117894176393747,id:toolace,stock_fcfs,mixed,1784503459.9629369,1784503459.963749,1784503461.1711066,1784503465.8562312,
bfcl:multi_turn_base_26:0000,1149.5141109917313,3329.961351118982,61,152.5,1148.199301911518,3328.6465420387685,1.3148090802133083,ood:bfcl,stock_fcfs,mixed,1784503461.5764394,1784503461.5777547,1784503462.725965,1784503464.9064121,
toolace-000051:0001,962.717873044312,4624.450830044225,150,375.0,961.0258098691702,4622.758766869083,1.6920631751418114,id:toolace,stock_fcfs,mixed,1784503465.1323676,1784503465.1340597,1784503466.095093,1784503469.7568262,
toolace-001546:0000,841.8114851228893,5877.518315101042,184,460.0,841.4947481360286,5877.201578114182,0.3167369868606329,id:toolace,stock_fcfs,mixed,1784503465.9684289,1784503465.9687455,1784503466.8102472,1784503471.845954,
toolace-001092:0000,984.1582251247019,2450.2520330715925,40,100.0,983.7282330263406,2449.822040973231,0.42999209836125374,id:toolace,stock_fcfs,mixed,1784503467.9540508,1784503467.9544806,1784503468.938217,1784503470.4043105,
bfcl:multi_turn_long_context_13:0000,1186.400796752423,3668.104429729283,69,172.5,1185.4243259876966,3667.1279589645565,0.9764707647264004,ood:bfcl,stock_fcfs,mixed,1784503468.3351812,1784503468.336158,1784503469.5215905,1784503472.0032938,
toolace-006436:0000,927.6882279664278,2763.1628969684243,75,117.5,927.1560360211879,2762.6307050231844,0.5321919452399015,id:toolace,stock_fcfs,mixed,1784503470.2702844,1784503470.270817,1784503471.197981,1784503473.0334563,
bfcl:live_multiple_724-165-11:0000,1318.8021103851497,2359.0680714696646,64,160.0,1317.1749368775636,2357.4408979620785,1.6271735075861216,ood:bfcl,stock_fcfs,mixed,1784503473.848879,1784503473.8505075,1784503475.1676948,1784503476.2079606,
bfcl:live_irrelevance_593-188-0:0000,924.3949195370078,1410.9445495996624,24,60.0,922.1555141266435,1408.7051441892982,2.23940541036427,ood:bfcl,stock_fcfs,mixed,1784503474.1389906,1784503474.1412313,1784503475.0634,1784503475.5499496,
toolace-000399:0002,969.1343370359391,2424.732902087271,62,107.5,963.4522539563477,2419.05081900768,5.6820830795913935,id:toolace,stock_fcfs,mixed,1784503481.676501,1784503481.6821842,1784503482.6456494,1784503484.101248,
toolace-007141:0000,1194.211645750329,4304.846185725182,153,382.5,1193.4531391598284,4304.087679134682,0.758506590500474,id:toolace,stock_fcfs,mixed,1784503482.336068,1784503482.3368273,1784503483.5302892,1784503486.6409242,
bfcl:exec_parallel_1:0000,889.9630233645439,6468.906065449119,273,682.5,889.1483868937939,6468.091428978369,0.8146364707499743,ood:bfcl,stock_fcfs,mixed,1784503482.3621826,1784503482.3629973,1784503483.2521532,1784503488.8310957,
toolace-008090:0000,1220.7687317859381,2615.4288249090314,78,195.0,1218.7118830624968,2613.37197618559,2.0568487234413624,id:toolace,stock_fcfs,mixed,1784503483.0088603,1784503483.0109174,1784503484.2296374,1784503485.6242976,
toolace-003354:0000,708.8428146671504,1619.6454176679254,42,92.5,707.4451071675867,1618.2477101683617,1.397707499563694,id:toolace,stock_fcfs,mixed,1784503484.8715007,1784503484.8728988,1784503485.5803533,1784503486.4911554,
bfcl:live_simple_242-126-0:0000,496.2891424074769,906.6738723777235,27,67.5,495.9195591509342,906.3042891211808,0.36958325654268265,ood:bfcl,stock_fcfs,mixed,1784503485.3708172,1784503485.371187,1784503485.8671162,1784503486.2775009,
bfcl:parallel_multiple_45:0000,818.8503738492727,2245.3630887903273,84,210.0,818.3992090635002,2244.9119240045547,0.451164785772562,ood:bfcl,stock_fcfs,mixed,1784503488.9679496,1784503488.9684007,1784503489.78681,1784503491.2133224,
toolace-005932:0000,1317.60771619156,2507.832298288122,74,185.0,1315.6508628744632,2505.875444971025,1.9568533170968294,id:toolace,stock_fcfs,mixed,1784503492.6512003,1784503492.6531596,1784503493.9688265,1784503495.1590514,
toolace-005389:0000,1198.1937540695071,2210.0728631485254,60,150.0,1197.7569749578834,2209.6360840369016,0.43677911162376404,id:toolace,stock_fcfs,mixed,1784503492.685827,1784503492.6862638,1784503493.8840294,1784503494.8959079,
bfcl:live_simple_14-3-10:0000,665.804079733789,1340.2649995405227,43,107.5,664.435344049707,1338.8962638564408,1.368735684081912,ood:bfcl,stock_fcfs,mixed,1784503495.8026154,1784503495.8039842,1784503496.4684286,1784503497.142889,
bfcl:live_multiple_259-123-0:0000,1274.928814265877,2008.3624231629074,52,130.0,1274.3414340075105,2007.775042904541,0.5873802583664656,ood:bfcl,stock_fcfs,mixed,1784503497.509906,1784503497.5104935,1784503498.7848432,1784503499.518277,
bfcl:live_simple_211-117-3:0000,889.1856651753187,1584.856322268024,45,112.5,888.4771009907126,1584.147758083418,0.7085641846060753,ood:bfcl,stock_fcfs,mixed,1784503497.8743687,1784503497.8750777,1784503498.7635639,1784503499.459234,
bfcl:simple_252:0000,720.8796888589859,2074.6478429064155,70,175.0,719.1634080372751,2072.9315620847046,1.716280821710825,ood:bfcl,stock_fcfs,mixed,1784503502.314799,1784503502.3165174,1784503503.0356972,1784503504.389465,
toolace-004368:0000,1151.4439689926803,1553.1366697978228,27,67.5,1150.743026053533,1552.4357268586755,0.7009429391473532,id:toolace,stock_fcfs,mixed,1784503502.7361212,1784503502.7368243,1784503503.8875859,1784503504.2892783,
toolace-009879:0000,1171.4762868359685,4871.569141745567,192,480.0,1167.9067080840468,4867.999562993646,3.5695787519216537,id:toolace,stock_fcfs,mixed,1784503507.4622812,1784503507.465851,1784503508.6337705,1784503512.3338633,
bfcl:multi_turn_composite_195:0000,1218.2984112296253,1620.5224292352796,32,80.0,1218.0795269086957,1620.30354491435,0.2188843209296465,ood:bfcl,stock_fcfs,mixed,1784503509.1220798,1784503509.122299,1784503510.3403878,1784503510.7426121,
toolace-000233:0001,953.3616951666772,2627.287399256602,85,212.5,951.0954269208014,2625.021131010726,2.2662682458758354,id:toolace,stock_fcfs,mixed,1784503514.1276882,1784503514.1299567,1784503515.0810676,1784503516.754993,
toolace-000112:0003,968.9186920877546,4017.1550111845136,143,350.0,967.2502528410405,4015.4865719377995,1.6684392467141151,id:toolace,stock_fcfs,mixed,1784503518.4193923,1784503518.421062,1784503519.388323,1784503522.436559,
toolace-004016:0000,1284.4080419745296,3479.2307901661843,120,297.5,1283.418544800952,3478.2412929926068,0.9894971735775471,id:toolace,stock_fcfs,mixed,1784503518.6353025,1784503518.636293,1784503519.9197206,1784503522.1145432,
bfcl:live_multiple_198-90-0:0000,1180.9946082066745,1302.1892551332712,16,40.0,1176.842028973624,1298.0366759002209,4.152579233050346,ood:bfcl,stock_fcfs,mixed,1784503526.0363102,1784503526.0404646,1784503527.2173212,1784503527.3385155,
toolace-006395:0000,1082.2017537429929,5469.552120892331,222,555.0,1079.5738107990474,5466.9241779483855,2.627942943945527,id:toolace,stock_fcfs,mixed,1784503529.7574666,1784503529.7600951,1784503530.8396788,1784503535.227029,
toolace-010479:0000,1127.7348124422133,1648.9524652715772,33,82.5,1127.4431780911982,1648.6608309205621,0.29163435101509094,id:toolace,stock_fcfs,mixed,1784503530.9495997,1784503530.949891,1784503532.0773425,1784503532.5985599,
bfcl:simple_246:0000,652.7604851871729,1053.8084080908448,32,80.0,651.6671490389854,1052.7150719426572,1.0933361481875181,ood:bfcl,stock_fcfs,mixed,1784503531.880658,1784503531.8817518,1784503532.533425,1784503532.9344733,
