request_id,ttft_ms,ttlt_ms,output_tokens,baseline_service_ms,send_ttft_ms,send_ttlt_ms,dispatch_lag_ms,category,policy,profile,scheduled_at_unix_s,dispatched_at_unix_s,first_token_at_unix_s,completed_at_unix_s,error
bfcl:live_multiple_17-4-9:0000,1605.0844402052462,2726.2332492973655,43,107.5,1603.0162449460477,2724.165054038167,2.0681952591985464,ood:bfcl,stock_fcfs,mixed,1784503022.0200481,1784503022.0221179,1784503023.6251514,1784503024.7463005,
toolace-003460:0000,1722.226393641904,5918.379496783018,193,482.5,1721.1405069101602,5917.293610051274,1.0858867317438126,id:toolace,stock_fcfs,mixed,1784503022.0254266,1784503022.0265129,1784503023.7476614,1784503027.943814,
toolace-000149:0001,967.9692594800144,3499.6135705150664,121,375.0,967.0658700633794,3498.7101810984313,0.9033894166350365,id:toolace,stock_fcfs,mixed,1784503024.244774,1784503024.2456782,1784503025.2127602,1784503027.744404,
bfcl:live_simple_112-68-0:0000,1103.2795009668916,3247.8329380974174,103,257.5,1103.0810729134828,3247.6345100440085,0.19842805340886116,ood:bfcl,stock_fcfs,mixed,1784503027.5128236,1784503027.5130222,1784503028.616113,1784503030.7606668,
toolace-003764:0000,1289.7297395393252,1936.3194375764579,41,102.5,1288.5028619784862,1935.0925600156188,1.226877560839057,id:toolace,stock_fcfs,mixed,1784503028.1729715,1784503028.1741989,1784503029.46271,1784503030.1092994,
toolace-008645:0000,1376.1090827174485,2166.695053689182,54,135.0,1375.9174100123346,2166.503380984068,0.1916727051138878,id:toolace,stock_fcfs,mixed,1784503028.2369277,1784503028.2371202,1784503029.613046,1784503030.4036322,
bfcl:multi_turn_miss_func_161:0000,1137.9844513721764,6312.782671302557,149,397.5,1136.7663671262562,6311.564587056637,1.2180842459201813,ood:bfcl,stock_fcfs,mixed,1784503030.6469247,1784503030.648143,1784503031.7849188,1784503036.959717,
bfcl:parallel_161:0000,567.6487544551492,16880.598335294053,662,1670.0,567.2132021281868,16880.16278296709,0.4355523269623518,ood:bfcl,stock_fcfs,mixed,1784503030.7220957,1784503030.7225316,1784503031.2897537,1784503047.6027033,
toolace-001438:0000,757.1738390251994,2072.2328808624297,64,160.0,756.7324989940971,2071.7915408313274,0.4413400311022997,id:toolace,stock_fcfs,mixed,1784503036.9755726,1784503036.976014,1784503037.7327535,1784503039.0478125,
toolace-008412:0000,1162.7664149273187,1948.3687337487936,42,72.5,1162.3765090480447,1947.9788278695196,0.38990587927401066,id:toolace,stock_fcfs,mixed,1784503037.6578565,1784503037.658247,1784503038.8206322,1784503039.6062348,
toolace-007683:0000,1277.3173986934125,4849.498123629019,174,422.5,1276.7678340896964,4848.9485590253025,0.549564603716135,id:toolace,stock_fcfs,mixed,1784503038.048572,1784503038.0491219,1784503039.3258967,1784503042.898078,
bfcl:live_irrelevance_647-205-1:0000,1295.703375712037,1968.4381647966802,43,107.5,1294.903591973707,1967.6383810583502,0.7997837383300066,ood:bfcl,stock_fcfs,mixed,1784503040.7180197,1784503040.71882,1784503042.0137327,1784503042.6864674,
bfcl:multiple_171:0000,868.114287732169,1761.920185526833,56,140.0,866.46021110937,1760.266108904034,1.6540766227990389,ood:bfcl,stock_fcfs,mixed,1784503048.4542549,1784503048.4559102,1784503049.322382,1784503050.2161882,
toolace-008773:0000,1240.2093538548797,4679.2436328250915,177,442.5,1238.522649044171,4677.556928014383,1.6867048107087612,id:toolace,stock_fcfs,mixed,1784503050.7953227,1784503050.7970102,1784503052.035545,1784503055.4745796,
toolace-000038:0003,992.0243939850479,17351.315564010292,671,1532.5,991.2526120897382,17350.543782114983,0.7717818953096867,id:toolace,stock_fcfs,mixed,1784503053.1283941,1784503053.1291664,1784503054.1204286,1784503070.4797196,
bfcl:simple_379:0000,576.2366522103548,1230.9556843247265,40,100.0,576.1030139401555,1230.8220460545272,0.13363827019929886,ood:bfcl,stock_fcfs,mixed,1784503058.580463,1784503058.5805972,1784503059.156707,1784503059.8114257,
toolace-006489:0000,1298.9379905629903,5499.891109531745,130,325.0,1297.6667860057205,5498.6199049744755,1.2712045572698116,id:toolace,stock_fcfs,mixed,1784503062.467531,1784503062.4688022,1784503063.766475,1784503067.9674282,
toolace-004698:0000,1468.478372786194,6077.141938731074,177,447.5,1468.3111780323088,6076.974743977189,0.16719475388526917,id:toolace,stock_fcfs,mixed,1784503066.4454396,1784503066.4456072,1784503067.9139268,1784503072.5225906,
bfcl:multi_turn_base_26:0000,1193.7506932299584,3318.581640254706,61,152.5,1191.8902220204473,3316.721169045195,1.8604712095111609,ood:bfcl,stock_fcfs,mixed,1784503068.547266,1784503068.5491266,1784503069.741025,1784503071.8658555,
toolace-000051:0001,998.1991581153125,4051.4000370167196,150,375.0,997.4159630946815,4050.6168419960886,0.7831950206309557,id:toolace,stock_fcfs,mixed,1784503072.962417,1784503072.9632006,1784503073.9606242,1784503077.013825,
toolace-001546:0000,851.053215097636,4312.391789164394,184,460.0,850.9215579833835,4312.260132050142,0.13165711425244808,id:toolace,stock_fcfs,mixed,1784503075.5509236,1784503075.5510557,1784503076.4019852,1784503079.863324,
toolace-001092:0000,988.6809487361461,1769.160449737683,40,100.0,987.4109581578523,1767.8904591593891,1.2699905782938004,id:toolace,stock_fcfs,mixed,1784503080.2836645,1784503080.2849348,1784503081.2723522,1784503082.0528316,
bfcl:multi_turn_long_context_13:0000,1155.629992019385,2615.2422539889812,69,172.5,1151.53421391733,2611.146475886926,4.095778102055192,ood:bfcl,stock_fcfs,mixed,1784503085.210277,1784503085.2143743,1784503086.3659253,1784503087.8255377,
toolace-006436:0000,951.6919106245041,2457.5423335190862,75,117.5,950.4564171656966,2456.306840060279,1.2354934588074684,id:toolace,stock_fcfs,mixed,1784503086.301157,1784503086.3023927,1784503087.2528582,1784503088.7587087,
bfcl:live_multiple_724-165-11:0000,1203.8273124489933,2223.4439805615693,64,160.0,1203.2376860734075,2222.8543541859835,0.5896263755857944,ood:bfcl,stock_fcfs,mixed,1784503088.216278,1784503088.2168686,1784503089.4201162,1784503090.439733,
bfcl:live_irrelevance_593-188-0:0000,947.8493062779307,1408.2734403200448,24,60.0,947.4571570754051,1407.8812911175191,0.3921492025256157,ood:bfcl,stock_fcfs,mixed,1784503090.5146632,1784503090.5150554,1784503091.4625206,1784503091.9229448,
toolace-000399:0002,1021.3441743981093,2238.955242559314,62,107.5,1018.3121629524976,2235.923231113702,3.0320114456117153,id:toolace,stock_fcfs,mixed,1784503094.2195284,1784503094.2225618,1784503095.2408862,1784503096.458497,
toolace-007141:0000,1211.9781710207462,3976.5390830580145,153,382.5,1208.9676978066564,3973.5286098439246,3.0104732140898705,id:toolace,stock_fcfs,mixed,1784503097.9933474,1784503097.9963598,1784503099.2053406,1784503101.969901,
bfcl:exec_parallel_1:0000,857.1715936996043,6751.577019691467,273,682.5,856.1632130295038,6750.568639021367,1.0083806701004505,ood:bfcl,stock_fcfs,mixed,1784503109.4400823,1784503109.4410918,1784503110.2972667,1784503116.1916726,
toolace-008090:0000,1239.9692514445633,2619.1521254368126,78,195.0,1238.2352980785072,2617.4181720707566,1.7339533660560846,id:toolace,stock_fcfs,mixed,1784503110.1838813,1784503110.1856158,1784503111.4238603,1784503112.803043,
toolace-003354:0000,681.9539787247777,1495.909207733348,39,92.5,681.2887759879231,1495.2440049964935,0.6652027368545532,id:toolace,stock_fcfs,mixed,1784503111.1183014,1784503111.1189673,1784503111.800268,1784503112.6142232,
bfcl:live_simple_242-126-0:0000,603.3956995233893,1263.905887492001,27,67.5,602.5655260309577,1263.0757139995694,0.8301734924316406,ood:bfcl,stock_fcfs,mixed,1784503112.9625123,1784503112.9633427,1784503113.5659149,1784503114.2264247,
bfcl:parallel_multiple_45:0000,827.8632059227675,2439.7137199994177,84,210.0,826.3738458044827,2438.224359881133,1.4893601182848215,ood:bfcl,stock_fcfs,mixed,1784503115.1726503,1784503115.174141,1784503116.0005264,1784503117.6123772,
toolace-005932:0000,1305.8324800804257,2758.0934341531247,74,185.0,1304.5446111354977,2756.8055652081966,1.28786894492805,id:toolace,stock_fcfs,mixed,1784503115.9983325,1784503115.9996216,1784503117.3041742,1784503118.7564352,
toolace-005389:0000,1167.8862776607275,2430.026955669746,60,150.0,1166.959763970226,2429.1004419792444,0.9265136905014515,id:toolace,stock_fcfs,mixed,1784503116.4647522,1784503116.4656804,1784503117.6326509,1784503118.8947916,
bfcl:live_simple_14-3-10:0000,809.5970889553428,1591.8438481166959,43,107.5,808.8831258937716,1591.1298850551248,0.7139630615711212,ood:bfcl,stock_fcfs,mixed,1784503117.855918,1784503117.856633,1784503118.6655269,1784503119.4477737,
bfcl:live_multiple_259-123-0:0000,1281.0664088465273,2030.6744098197669,52,130.0,1280.1288159098476,2029.7368168830872,0.9375929366797209,ood:bfcl,stock_fcfs,mixed,1784503118.5705018,1784503118.5714412,1784503119.8515844,1784503120.6011922,
bfcl:live_simple_211-117-3:0000,886.110819876194,1542.5495910458267,45,112.5,885.0714359432459,1541.5102071128786,1.0393839329481125,ood:bfcl,stock_fcfs,mixed,1784503119.71481,1784503119.7158506,1784503120.6009345,1784503121.2573726,
bfcl:simple_252:0000,726.2084181420505,1897.4297682289034,70,175.0,724.8494159430265,1896.0707660298795,1.359002199023962,ood:bfcl,stock_fcfs,mixed,1784503121.4866474,1784503121.4880078,1784503122.2128735,1784503123.3840945,
toolace-004368:0000,1173.1926056090742,1555.2946706302464,27,67.5,1171.909739030525,1554.0118040516973,1.2828665785491467,id:toolace,stock_fcfs,mixed,1784503123.6744683,1784503123.6757529,1784503124.8476772,1784503125.2297788,
toolace-009879:0000,1136.8764722719789,4837.992682354525,192,480.0,1135.2571861352772,4836.373396217823,1.619286136701703,id:toolace,stock_fcfs,mixed,1784503126.3925946,1784503126.3942158,1784503127.5294867,1784503131.2306023,
bfcl:multi_turn_composite_195:0000,1194.791668560356,1594.7680925019085,32,80.0,1193.6648341361433,1593.641258077696,1.126834424212575,ood:bfcl,stock_fcfs,mixed,1784503127.629684,1784503127.6308122,1784503128.8244934,1784503129.2244697,
